taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	GOLD Analysis Project Type	Add Date	Assembly Method	Comments	Has Coverage	Is Public	Release Date	User Access	Contact Email	Contact Name	Is Published	Sequencing Method	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Altitude In Meters	Depth In Meters	Elevation In Meters	Geographic Location	Habitat	Isolation Country	Latitude	Longitude	Genome Size   * assembled	Gene Count   * assembled	JGI Data Utilization Status	
3300021057	*Microbiome	Permanent Draft	Systems level insights into methane cycling in arid and semi-arid ecosystems	Soil microbial communities from Anza Borrego desert, Southern California, United States - S3_20-13C	DOE Joint Genome Institute (JGI)	3300021057	Environmental	Terrestrial	Soil	Desert	Unclassified	Systems level insights into methane cycling in arid and semi-arid ecosystems	Metagenome Analysis	2017-10-02	spades v. SPAdes version: 3.10.1		Yes	Yes	2017-12-01		mkalyuzhnaya@sdsu.edu	Marina Kalyuzhnaya	No	Illumina HiSeq 2500-1TB	Environmental	Terrestrial	Desert	Soil	Unclassified		0	0	USA: California	soil	USA	33.305	-116.2547	204709815	476996	Restricted	
3300023218	*Microbiome	Permanent Draft	Solar saltern microbial communities from the Namib Desert	Sediment microbial communities from solar saltern in the Namib Desert, Gobabeb, Namibia - Hosabes sink 2016	Genewiz Inc.	3300023218	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Microbial mats	Solar saltern microbial communities from the Namib Desert	Metagenome Analysis	2018-02-18	SPAdes v. 3.9.0	released by JGI data releasing policy	Yes	Yes	2021-03-03		don.cowan@up.ac.za	Don Cowan	No	Illumina HiSeq X Ten	Environmental	Aquatic	Hypersaline	Non-marine Saline and Alkaline	Microbial mats			428	Hosabes solar saltern, Gobabeb, Erongo region, Namibia	Microbial mat and sediment	Namibia	-23.5071944	15.07105556	727361195	990345		
2016842008	*Microbiome	Draft	Hot spring microbial communities from Yellowstone National Park, Wyoming, USA	Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP20 Bath Lake Vista Annex - Purple-Sulfur Mats v1	DOE Joint Genome Institute (JGI)	2016842008	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Microbial mats	Hot spring microbial communities from Yellowstone National Park, Wyoming, USA	Metagenome Analysis	2009-04-20	lucy / pga	released based on JGI ITS	No	Yes	2022-03-25		binskeep@montana.edu	William Inskeep, William P. Inskeep	Yes	Sanger	Environmental	Aquatic	Hot (42-90C)	Thermal springs	Microbial mats			2061	Yellowstone National Park, WY	Hot spring	USA	44.96507	-110.71215	41493403	57652	Unrestricted	
3300025758	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	Marine hydrothermal vent microbial communities from Guaymas Basin, Gulf of California to study Microbial Dark Matter (Phase II) - Marker 14 Mat core 4571-4 33-36 cm metaG (SPAdes)	DOE Joint Genome Institute (JGI)	3300025758	Environmental	Aquatic	Marine	Hydrothermal vents	Sediment	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	Metagenome Analysis	2018-04-13	spades v. 3.11.1		Yes	Yes	2018-06-12		rstepanauskas@bigelow.org; teske@email.unc.edu	Ramunas Stepanauskas; Andreas Teske	No	Illumina HiSeq 2500-1TB	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment		2000		Mexico: Guaymas Basin, Gulf of California	Marine hydrothermal vent	Mexico	27.0078	-111.4071	14148566	34631	Unrestricted	
3300024473	*Microbiome	Permanent Draft	Acidic stream sediment microbial community, Parys Moutain abandoned copper mine	Acidic stream sediment microbial communities from copper mine in Parys Mountain, Anglesey, Wales, United Kingdom - extreme acidophiles	Baltic Federal University	3300024473	Engineered	Wastewater	Industrial wastewater	Mine water	Sediment	Acidic stream sediment microbial community, Parys Moutain abandoned copper mine	Metagenome Analysis	2018-03-25	SPAdes v. 3.10.0	released by JGI data releasing policy	Yes	Yes	2022-03-04		stepan.toshchakov@gmail.com	Stepan Toshchakov	No	Illumina MiSeq	Engineered	Wastewater	Mine water	Industrial wastewater	Sediment				Anglesey, Wales, UK	sediment	United Kingdom	53.39	-4.345966	200151926	265893		
3300038413	*Microbiome	Permanent Draft	Acid mine drainage microbial communities from coal mines in Pennsylvania and Ohio, United States	Lab enriched acid mine drainage microbial communities from Akron, Ohio, USA - WFPL2_21D	DOE Joint Genome Institute (JGI)	3300038413	Engineered	Wastewater	Industrial wastewater	Mine water	Acid mine drainage	Acid mine drainage microbial communities from coal mines in Pennsylvania and Ohio, United States	Metagenome Analysis	2020-03-27	metaspades v. 3.13.0		Yes	Yes	2020-05-26		shagun2260@gmail.com	Shagun sharma	No	Illumina NovaSeq S4	Engineered	Wastewater	Mine water	Industrial wastewater	Acid mine drainage			225	USA: Akron, Ohio	acid mine drainage	USA	41.0775	-81.5114	1024560889	2847241	Unrestricted	
2140918027	*Microbiome	Permanent Draft	Hypersaline microbial communities from Antarctic Deep Lake	Hypersaline microbial communities from Antarctic Deep Lake - 36m 3.0um, 0.8um, 0.1um pool	DOE Joint Genome Institute (JGI)	2140918027	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Unclassified	Hypersaline microbial communities from Antarctic Deep Lake	Metagenome Analysis	2011-03-29	Newbler v. 2.5		No	Yes	2011-09-30		r.cavicchioli@unsw.edu.au, r.cavicchioli@unsw.edu.au; m.allen@unsw.edu.au	Rick  Cavicchioli, Rick Cavicchioli; Michelle Allen	Yes	454 GS FLX Titanium	Environmental	Aquatic	Hypersaline	Non-marine Saline and Alkaline	Unclassified		36		Deep Lake Antarctica	Hypersaline	Antarctica	-68.54	78.18	190563105	475716		
3300041970	*Microbiome	Permanent Draft	Systems level insights into methane cycling in arid and semi-arid ecosystems	Soil microbial communities from Anza Borrego desert, Southern California, United States - 2020_S1	DOE Joint Genome Institute (JGI)	3300041970	Environmental	Terrestrial	Soil	Desert	Unclassified	Systems level insights into methane cycling in arid and semi-arid ecosystems	Metagenome Analysis	2020-11-05	metaspades v. 3.14.1	released based on JGI ITS	Yes	Yes	2021-01-04		mkalyuzhnaya@sdsu.edu	Marina Kalyuzhnaya	No	Illumina NovaSeq S4	Environmental	Terrestrial	Desert	Soil	Unclassified			208	USA: California	Soil	USA	33.3052	-116.2547	307974693	787985	Restricted	
3300001112	*Microbiome	Permanent Draft	Saline, thermophilic phototrophic and chemotrophic mat microbial communities from various locations in USA and Mexico	Hypersaline microbial mat communities from Hot Lake, Washington, USA - Section #3	DOE Joint Genome Institute (JGI)	3300001112	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Microbial mats	Saline, thermophilic phototrophic and chemotrophic mat microbial communities from various locations in USA and Mexico	Metagenome Analysis	2013-03-13			Yes	Yes	2013-05-12		jim.fredrickson@pnnl.gov	Jim Fredrickson	No	Illumina HiSeq 2000, Illumina HiSeq 2500	Environmental	Aquatic	Hypersaline	Non-marine Saline and Alkaline	Microbial mats		.35		Hot Lake, Oroville, Washington, USA	Hypersaline mat	USA	48.973481	-119.476345	61791375	115167	Restricted	
3300008062	*Microbiome	Permanent Draft	Marine sediment microbial communities from shallow-sea hydrothermal vent, Milos, Greece	Marine sediment microbial communities from shallow-sea hydrothermal vent, Milos, Greece - SG7	National Aeronautics and Space Administration (NASA)	3300008062	Environmental	Aquatic	Marine	Hydrothermal vents	Sediment	Marine sediment microbial communities from shallow-sea hydrothermal vent, Milos, Greece	Metagenome Analysis	2016-03-28	IDBA-UD	released per JGI data release policy	No	Yes	2019-11-01		momper@usc.edu	Lily Momper	No		Environmental	Aquatic	Hydrothermal vents	Marine	Sediment		.01 to .2		Milos, Greece	Marine sediment		36.674869	24.520916	121466297	335248		
3300022723	*Microbiome	Permanent Draft	Solar saltern microbial communities from the Namib Desert	Sediment microbial communities from solar saltern in the Namib Desert, Swakopmund, Namibia - Eisfeld source 2017	Genewiz Inc.	3300022723	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Microbial mats	Solar saltern microbial communities from the Namib Desert	Metagenome Analysis	2018-01-26	SPAdes v. 3.6.0	released by JGI data releasing policy	Yes	Yes	2021-03-03		don.cowan@up.ac.za	Don Cowan	No	Illumina HiSeq X Ten	Environmental	Aquatic	Hypersaline	Non-marine Saline and Alkaline	Microbial mats				Eisfeld solar saltern, Swakopmund, Erongo region, Namibia	Microbial mat and sediment	Namibia	-22.4834167	14.57258333	568535041	851417		
3300028382	*Microbiome	Permanent Draft	Bras del Port September 2017	Non-marine hypersaline water viral communities from Bras del Port saltern ponds, Alicante, Spain - CR30_September 2016	University of Alicante	3300028382	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Unclassified	Bras del Port September 2017	Metagenome Analysis	2018-06-08	IDBA v. 1.1.1	released by JGI data releasing policy	No	Yes	2022-03-04		ramosloles@gmail.com	Mar?a Dolores Ramos Barbero	No	Illumina NextSeq	Environmental	Aquatic	Hypersaline	Non-marine Saline and Alkaline	Unclassified				Bras de Port, Alicante, Spain	Hypersaline water		38.1904	-0.5948	14588756	46116		
3300005278	*Microbiome	Permanent Draft	Hot Spring microbial communities from Great Boiling Spring, Nevada	Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C v3	DOE Joint Genome Institute (JGI)	3300005278	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Sediment	Hot Spring microbial communities from Great Boiling Spring, Nevada	Metagenome Analysis	2015-06-03	MeGAMerge version 0.9b	released based on JGI ITS	Yes	Yes	2022-03-25		brian.hedlund@unlv.edu	Brian P. Hedlund, Brian Hedlund	Yes	454 GS FLX Titanium, Illumina HiSeq 2000	Environmental	Aquatic	Hot (42-90C)	Thermal springs	Sediment			1700	Great Boiling Spring, Nevada	Hot Spring	USA	40.71458	-119.369659	138921631	254148	Unrestricted	
2077657023	*Microbiome	Permanent Draft	Hot spring microbial communities from Yellowstone National Park, Wyoming, USA	Hot spring microbial communities from One Hundred Springs Plain, Yellowstone National Park, Wyoming, USA - sample OSP_B	DOE Joint Genome Institute (JGI)	2077657023	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Unclassified	Hot spring microbial communities from Yellowstone National Park, Wyoming, USA	Metagenome Analysis	2010-10-27	Newbler v. 2.5	released based on JGI ITS	No	Yes	2022-01-22		binskeep@montana.edu	William Inskeep, William P. Inskeep	Yes		Environmental	Aquatic	Hot (42-90C)	Thermal springs	Unclassified			2300	One Hundred Springs Plain, Yellowstone National Park	Hot spring	USA	44.7315	-110.711389	35803982	81130	Unrestricted	
3300022347	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Herschel Lake, Rottnest Island (WA - Australia) - HL3WBGP3 JM42	AGRF	3300022347	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Microbial mats	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Metagenome Analysis	2017-12-14	Unkown	released by JGI data releasing policy	Yes	Yes	2021-03-03		deirdre.gleeson@uwa.edu.au	Deirdre Gleeson	No	Illumina HiSeq 2500	Environmental	Aquatic	Hypersaline	Non-marine Saline and Alkaline	Microbial mats				Australia: Herschel Lake, Rottnest Island, Western Australia	Microbial mat	Australia	-31.996531	115.533257	35493036	68526		
