Feature	FeatureName	Mean.Hypersaline_Saltern(n=316)	Mean.Unrestored(n=12)	StdErr.Hypersaline_Saltern(n=316)	StdErr.Unrestored(n=12)	MWTest.UStat	MWTest.Pval	MWTest.adjPval	2004247001.Hypersaline_Saltern	3300022699.Hypersaline_Saltern	3300003723.Hypersaline_Saltern	3300003307.Hypersaline_Saltern	3300003709.Hypersaline_Saltern	3300022434.Hypersaline_Saltern	3300022446.Hypersaline_Saltern	3300022460.Hypersaline_Saltern	3300017990.Hypersaline_Saltern	3300003630.Hypersaline_Saltern	3300028388.Hypersaline_Saltern	3300022450.Hypersaline_Saltern	3300021198.Hypersaline_Saltern	3300019892.Hypersaline_Saltern	3300003656.Hypersaline_Saltern	3300022444.Hypersaline_Saltern	3300005996.Hypersaline_Saltern	3300022436.Hypersaline_Saltern	2004247007.Hypersaline_Saltern	3300028546.Hypersaline_Saltern	3300022398.Hypersaline_Saltern	3300022323.Hypersaline_Saltern	3300016769.Hypersaline_Saltern	3300022313.Hypersaline_Saltern	3300006974.Hypersaline_Saltern	3300001590.Hypersaline_Saltern	3300007063.Hypersaline_Saltern	3300001970.Hypersaline_Saltern	3300006161.Hypersaline_Saltern	3300022310.Hypersaline_Saltern	3300022320.Hypersaline_Saltern	3300022677.Hypersaline_Saltern	2084038019.Hypersaline_Saltern	3300022453.Hypersaline_Saltern	3300034406.Hypersaline_Saltern	3300022337.Hypersaline_Saltern	3300022341.Hypersaline_Saltern	3300019924.Hypersaline_Saltern	3300005140.Hypersaline_Saltern	3300022439.Hypersaline_Saltern	3300003123.Hypersaline_Saltern	3300022458.Hypersaline_Saltern	3300022449.Hypersaline_Saltern	3300034378.Hypersaline_Saltern	3300006171.Hypersaline_Saltern	3300022331.Hypersaline_Saltern	3300022725.Hypersaline_Saltern	3300017578.Hypersaline_Saltern	3300019926.Hypersaline_Saltern	3300020058.Hypersaline_Saltern	3300022415.Hypersaline_Saltern	3300017563.Hypersaline_Saltern	3300022425.Hypersaline_Saltern	3300022347.Hypersaline_Saltern	3300028383.Hypersaline_Saltern	3300003120.Hypersaline_Saltern	3300000240.Hypersaline_Saltern	2236876021.Hypersaline_Saltern	3300005143.Hypersaline_Saltern	3300017507.Hypersaline_Saltern	3300005717.Hypersaline_Saltern	3300022318.Hypersaline_Saltern	3300022328.Hypersaline_Saltern	3300022442.Hypersaline_Saltern	3300022432.Hypersaline_Saltern	3300006966.Hypersaline_Saltern	3300009069.Hypersaline_Saltern	3300001332.Hypersaline_Saltern	3300017828.Hypersaline_Saltern	3300007238.Hypersaline_Saltern	2236876017.Hypersaline_Saltern	3300022355.Hypersaline_Saltern	3300001523.Hypersaline_Saltern	3300022332.Hypersaline_Saltern	3300021380.Hypersaline_Saltern	3300003635.Hypersaline_Saltern	3300024063.Hypersaline_Saltern	3300022455.Hypersaline_Saltern	3300005642.Hypersaline_Saltern	2140918027.Hypersaline_Saltern	2140918017.Hypersaline_Saltern	3300017523.Hypersaline_Saltern	3300022681.Hypersaline_Saltern	3300028423.Hypersaline_Saltern	3300022676.Hypersaline_Saltern	3300006999.Hypersaline_Saltern	3300017455.Hypersaline_Saltern	3300022342.Hypersaline_Saltern	3300000578.Hypersaline_Saltern	3300022418.Hypersaline_Saltern	3300022428.Hypersaline_Saltern	3300017575.Hypersaline_Saltern	3300006016.Hypersaline_Saltern	3300007028.Hypersaline_Saltern	3300003629.Hypersaline_Saltern	3300017963.Hypersaline_Saltern	3300017502.Hypersaline_Saltern	3300022349.Hypersaline_Saltern	3300022404.Hypersaline_Saltern	2004247004.Hypersaline_Saltern	3300022447.Hypersaline_Saltern	3300005412.Hypersaline_Saltern	3300022315.Hypersaline_Saltern	3300022325.Hypersaline_Saltern	3300022431.Hypersaline_Saltern	3300018065.Hypersaline_Saltern	3300017960.Hypersaline_Saltern	3300001101.Hypersaline_Saltern	3300022441.Hypersaline_Saltern	3300022437.Hypersaline_Saltern	3300017580.Hypersaline_Saltern	2004247006.Hypersaline_Saltern	3300022706.Hypersaline_Saltern	3300022358.Hypersaline_Saltern	3300017510.Hypersaline_Saltern	3300000328.Hypersaline_Saltern	3300017825.Hypersaline_Saltern	3300000910.Hypersaline_Saltern	3300022339.Hypersaline_Saltern	3300022406.Hypersaline_Saltern	3300017815.Hypersaline_Saltern	2236876022.Hypersaline_Saltern	3300003626.Hypersaline_Saltern	3300023214.Hypersaline_Saltern	3300007020.Hypersaline_Saltern	3300011934.Hypersaline_Saltern	3300022410.Hypersaline_Saltern	3300022420.Hypersaline_Saltern	2100351014.Hypersaline_Saltern	3300006982.Hypersaline_Saltern	3300022402.Hypersaline_Saltern	3300022395.Hypersaline_Saltern	2004247002.Hypersaline_Saltern	3300009133.Hypersaline_Saltern	2084038011.Hypersaline_Saltern	3300022344.Hypersaline_Saltern	3300022409.Hypersaline_Saltern	3300005273.Hypersaline_Saltern	3300022336.Hypersaline_Saltern	3300002078.Hypersaline_Saltern	3300018080.Hypersaline_Saltern	2061766006.Hypersaline_Saltern	3300017106.Hypersaline_Saltern	2004247009.Hypersaline_Saltern	3300022350.Hypersaline_Saltern	3300000525.Hypersaline_Saltern	3300005268.Hypersaline_Saltern	3300022423.Hypersaline_Saltern	3300022723.Hypersaline_Saltern	3300007023.Hypersaline_Saltern	2025206003.Hypersaline_Saltern	3300021390.Hypersaline_Saltern	3300017475.Hypersaline_Saltern	3300003707.Hypersaline_Saltern	3300019927.Hypersaline_Saltern	3300000245.Hypersaline_Saltern	3300022334.Hypersaline_Saltern	3300022346.Hypersaline_Saltern	3300002148.Hypersaline_Saltern	3300028384.Hypersaline_Saltern	3300022322.Hypersaline_Saltern	3300022312.Hypersaline_Saltern	3300022448.Hypersaline_Saltern	2209111009.Hypersaline_Saltern	3300003625.Hypersaline_Saltern	3300006978.Hypersaline_Saltern	3300022351.Hypersaline_Saltern	3300022357.Hypersaline_Saltern	3300022438.Hypersaline_Saltern	3300021391.Hypersaline_Saltern	3300003658.Hypersaline_Saltern	3300007038.Hypersaline_Saltern	3300022459.Hypersaline_Saltern	3300017474.Hypersaline_Saltern	3300022452.Hypersaline_Saltern	3300022335.Hypersaline_Saltern	3300017971.Hypersaline_Saltern	3300022421.Hypersaline_Saltern	2061766005.Hypersaline_Saltern	3300022411.Hypersaline_Saltern	3300000244.Hypersaline_Saltern	3300031914.Hypersaline_Saltern	3300005075.Hypersaline_Saltern	3300035034.Hypersaline_Saltern	3300000246.Hypersaline_Saltern	3300022417.Hypersaline_Saltern	3300001097.Hypersaline_Saltern	3300022427.Hypersaline_Saltern	3300022345.Hypersaline_Saltern	3300017992.Hypersaline_Saltern	3300017564.Hypersaline_Saltern	3300022462.Hypersaline_Saltern	3300022319.Hypersaline_Saltern	3300022329.Hypersaline_Saltern	3300017476.Hypersaline_Saltern	3300022456.Hypersaline_Saltern	3300001112.Hypersaline_Saltern	3300022430.Hypersaline_Saltern	3300022464.Hypersaline_Saltern	3300017587.Hypersaline_Saltern	3300022399.Hypersaline_Saltern	3300024061.Hypersaline_Saltern	3300017517.Hypersaline_Saltern	3300023199.Hypersaline_Saltern	3300017511.Hypersaline_Saltern	3300017521.Hypersaline_Saltern	3300022683.Hypersaline_Saltern	3300004819.Hypersaline_Saltern	3300000911.Hypersaline_Saltern	3300028421.Hypersaline_Saltern	3300005139.Hypersaline_Saltern	3300022440.Hypersaline_Saltern	3300007852.Hypersaline_Saltern	3300022454.Hypersaline_Saltern	3300022326.Hypersaline_Saltern	3300022316.Hypersaline_Saltern	3300028604.Hypersaline_Saltern	3300035633.Hypersaline_Saltern	3300022433.Hypersaline_Saltern	3300004822.Hypersaline_Saltern	3300007033.Hypersaline_Saltern	3300022705.Hypersaline_Saltern	2004247005.Hypersaline_Saltern	3300017989.Hypersaline_Saltern	3300017826.Hypersaline_Saltern	3300022405.Hypersaline_Saltern	3300022392.Hypersaline_Saltern	3300038366.Hypersaline_Saltern	3300022443.Hypersaline_Saltern	3300028382.Hypersaline_Saltern	3300022314.Hypersaline_Saltern	3300022324.Hypersaline_Saltern	3300005142.Hypersaline_Saltern	3300006973.Hypersaline_Saltern	2124908030.Hypersaline_Saltern	3300022343.Hypersaline_Saltern	3300017512.Hypersaline_Saltern	3300017987.Hypersaline_Saltern	3300022777.Hypersaline_Saltern	3300007084.Hypersaline_Saltern	3300022414.Hypersaline_Saltern	3300022424.Hypersaline_Saltern	3300017582.Hypersaline_Saltern	3300001293.Hypersaline_Saltern	3300019925.Hypersaline_Saltern	3300023202.Hypersaline_Saltern	3300003314.Hypersaline_Saltern	3300017500.Hypersaline_Saltern	3300022426.Hypersaline_Saltern	3300022416.Hypersaline_Saltern	3300022333.Hypersaline_Saltern	3300005141.Hypersaline_Saltern	3300023283.Hypersaline_Saltern	3300000405.Hypersaline_Saltern	3300038324.Hypersaline_Saltern	2236876023.Hypersaline_Saltern	3300004817.Hypersaline_Saltern	3300005070.Hypersaline_Saltern	3300022354.Hypersaline_Saltern	3300022340.Hypersaline_Saltern	3300023197.Hypersaline_Saltern	3300022330.Hypersaline_Saltern	3300006170.Hypersaline_Saltern	3300022397.Hypersaline_Saltern	3300022408.Hypersaline_Saltern	3300017519.Hypersaline_Saltern	3300035158.Hypersaline_Saltern	2004247008.Hypersaline_Saltern	3300022356.Hypersaline_Saltern	3300003623.Hypersaline_Saltern	3300022445.Hypersaline_Saltern	3300022403.Hypersaline_Saltern	3300022317.Hypersaline_Saltern	3300022327.Hypersaline_Saltern	2004247003.Hypersaline_Saltern	3300006160.Hypersaline_Saltern	3300022419.Hypersaline_Saltern	3300022429.Hypersaline_Saltern	3300020206.Hypersaline_Saltern	3300001591.Hypersaline_Saltern	3300007019.Hypersaline_Saltern	3300007029.Hypersaline_Saltern	3300022719.Hypersaline_Saltern	3300023218.Hypersaline_Saltern	3300022352.Hypersaline_Saltern	3300017827.Hypersaline_Saltern	2236876018.Hypersaline_Saltern	3300022321.Hypersaline_Saltern	3300022311.Hypersaline_Saltern	3300022435.Hypersaline_Saltern	2081372007.Hypersaline_Saltern	3300028522.Hypersaline_Saltern	3300022461.Hypersaline_Saltern	3300022457.Hypersaline_Saltern	3300017991.Hypersaline_Saltern	3300028663.Hypersaline_Saltern	3300000554.Hypersaline_Saltern	3300022700.Hypersaline_Saltern	2004247000.Hypersaline_Saltern	3300022359.Hypersaline_Saltern	3300000986.Hypersaline_Saltern	3300022338.Hypersaline_Saltern	3300017516.Hypersaline_Saltern	3300017571.Hypersaline_Saltern	3300022400.Hypersaline_Saltern	3300034152.Hypersaline_Saltern	3300022348.Hypersaline_Saltern	3300017524.Hypersaline_Saltern	3300017514.Hypersaline_Saltern	3300022422.Hypersaline_Saltern	3300001130.Hypersaline_Saltern	3300022412.Hypersaline_Saltern	3300017496.Hypersaline_Saltern	3300007022.Hypersaline_Saltern	3300022451.Hypersaline_Saltern	3300003631.Hypersaline_Saltern	3300009061.Unrestored	3300007537.Unrestored	3300007535.Unrestored	3300007628.Unrestored	3300007668.Unrestored	3300007626.Unrestored	3300007635.Unrestored	3300007983.Unrestored	3300007712.Unrestored	3300007984.Unrestored	3300007633.Unrestored	3300007723.Unrestored
Caedibacter	unknown	0.041139241	0	0.019657809	0	1932	0.635269782	0.790537704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aaosphaeria	Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;unclassified;Aaosphaeria	0.025316456	0	0.017301783	0	1914	0.742038786	0.803246749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ab18virus	"Viruses;dsDNA viruses, no RNA stage;unclassified;Caudovirales;Siphoviridae;Ab18virus"	0.636075949	0	0.460114477	0	1920	0.701441041	0.795578442	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abidjanvirus	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;Caudovirales;Siphoviridae;Abidjanvirus"	1.484177215	0	0.397866029	0	2202	0.132923433	0.204982888	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	4	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	3	0	0	0	0	0	0	0	0	0	13	0	0	0	68	7	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	41	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	77	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	28	0	1	0	0	0	0	0	0	0	0	0	0	1	20	0	0	1	0	0	0	1	4	0	0	0	0	0	0	16	0	2	0	0	0	1	0	1	0	0	0	0	3	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	3	0	0	21	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	0.028481013	1.666666667	0.010389091	0.414387707	504	2.72E-29	1.01E-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	4	0	1	3	1	3	0	1	0
Abouovirus	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;Caudovirales;Myoviridae;Abouovirus"	0.012658228	0	0.007731016	0	1914	0.742038008	0.803246749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Absidia	Eukaryota;Mucoromycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia	0.082278481	0	0.053023963	0	1920	0.701440372	0.795578442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Absiella	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Absiella	0.022151899	0	0.022151899	0	1902	0.858226905	0.859148986	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abyssicoccus	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Abyssicoccus	0.03164557	0	0.020463669	0	1914	0.742038786	0.803246749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abyssisolibacter	Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Abyssisolibacter	13.13291139	0	3.626161856	0	2508	0.020497324	0.034165263	2	0	0	0	0	1	1	1	338	0	0	0	0	0	0	0	0	1	2	0	0	3	0	1	0	0	0	0	0	1	0	0	0	1	18	1	0	1	0	0	0	0	0	32	0	0	18	0	2	1	1	2	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	1	0	3	0	0	0	273	0	0	0	2	0	0	1	1	0	359	229	0	0	2	4	3	1	1	1	0	0	0	0	0	0	0	0	9	0	20	0	1	1	0	0	0	2	0	0	0	0	0	0	0	365	1	0	1	1	0	0	2	36	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	328	1	0	0	0	0	0	0	0	0	0	3	0	616	0	0	1	0	2	0	0	0	0	2	0	0	1	59	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	1	1	290	0	0	2	0	0	0	3	2	0	0	0	0	2	310	0	0	0	0	2	0	1	29	0	3	0	1	1	0	7	0	0	0	0	0	1	0	0	1	0	0	0	0	138	1	0	0	0	0	4	0	0	0	0	1	3	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	1	0	0	1	2	3	153	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
