#Exported for mctoolsr
"#ASV_ID"	"X2004247001"	"X3300022699"	"X3300003723"	"X3300003307"	"X3300003709"	"X3300022434"	"X3300022446"	"X3300022460"	"X3300017990"	"X3300003630"	"X3300028388"	"X3300022450"	"X3300021198"	"X3300019892"	"X3300003656"	"X3300022444"	"X3300005996"	"X3300022436"	"X2004247007"	"X3300028546"	"X3300022398"	"X3300022323"	"X3300016769"	"X3300022313"	"X3300006974"	"X3300001590"	"X3300007063"	"X3300001970"	"X3300006161"	"X3300022310"	"X3300022320"	"X3300022677"	"X2084038019"	"X3300022453"	"X3300034406"	"X3300022337"	"X3300022341"	"X3300019924"	"X3300005140"	"X3300022439"	"X3300003123"	"X3300022458"	"X3300022449"	"X3300034378"	"X3300006171"	"X3300022331"	"X3300022725"	"X3300017578"	"X3300019926"	"X3300020058"	"X3300022415"	"X3300017563"	"X3300022425"	"X3300022347"	"X3300028383"	"X3300003120"	"X3300000240"	"X2236876021"	"X3300005143"	"X3300017507"	"X3300005717"	"X3300022318"	"X3300022328"	"X3300022442"	"X3300022432"	"X3300006966"	"X3300009069"	"X3300001332"	"X3300017828"	"X3300007238"	"X2236876017"	"X3300022355"	"X3300001523"	"X3300022332"	"X3300021380"	"X3300003635"	"X3300024063"	"X3300022455"	"X3300005642"	"X2140918027"	"X2140918017"	"X3300017523"	"X3300022681"	"X3300028423"	"X3300022676"	"X3300006999"	"X3300017455"	"X3300022342"	"X3300000578"	"X3300022418"	"X3300022428"	"X3300017575"	"X3300006016"	"X3300007028"	"X3300003629"	"X3300017963"	"X3300017502"	"X3300022349"	"X3300022404"	"X2004247004"	"X3300022447"	"X3300005412"	"X3300022315"	"X3300022325"	"X3300022431"	"X3300018065"	"X3300017960"	"X3300001101"	"X3300022441"	"X3300022437"	"X3300017580"	"X2004247006"	"X3300022706"	"X3300022358"	"X3300017510"	"X3300000328"	"X3300017825"	"X3300000910"	"X3300022339"	"X3300022406"	"X3300017815"	"X2236876022"	"X3300003626"	"X3300023214"	"X3300007020"	"X3300011934"	"X3300022410"	"X3300022420"	"X2100351014"	"X3300006982"	"X3300022402"	"X3300022395"	"X2004247002"	"X3300009133"	"X2084038011"	"X3300022344"	"X3300022409"	"X3300005273"	"X3300022336"	"X3300002078"	"X3300018080"	"X2061766006"	"X3300017106"	"X2004247009"	"X3300022350"	"X3300000525"	"X3300005268"	"X3300022423"	"X3300022723"	"X3300007023"	"X2025206003"	"X3300021390"	"X3300017475"	"X3300003707"	"X3300019927"	"X3300000245"	"X3300022334"	"X3300022346"	"X3300002148"	"X3300028384"	"X3300022322"	"X3300022312"	"X3300022448"	"X2209111009"	"X3300003625"	"X3300006978"	"X3300022351"	"X3300022357"	"X3300022438"	"X3300021391"	"X3300003658"	"X3300007038"	"X3300022459"	"X3300017474"	"X3300022452"	"X3300022335"	"X3300017971"	"X3300022421"	"X2061766005"	"X3300022411"	"X3300000244"	"X3300031914"	"X3300005075"	"X3300035034"	"X3300000246"	"X3300022417"	"X3300001097"	"X3300022427"	"X3300022345"	"X3300017992"	"X3300017564"	"X3300022462"	"X3300022319"	"X3300022329"	"X3300017476"	"X3300022456"	"X3300001112"	"X3300022430"	"X3300022464"	"X3300017587"	"X3300022399"	"X3300024061"	"X3300017517"	"X3300023199"	"X3300017511"	"X3300017521"	"X3300022683"	"X3300004819"	"X3300000911"	"X3300028421"	"X3300005139"	"X3300022440"	"X3300007852"	"X3300022454"	"X3300022326"	"X3300022316"	"X3300028604"	"X3300035633"	"X3300022433"	"X3300004822"	"X3300007033"	"X3300022705"	"X2004247005"	"X3300017989"	"X3300017826"	"X3300022405"	"X3300022392"	"X3300038366"	"X3300022443"	"X3300028382"	"X3300022314"	"X3300022324"	"X3300005142"	"X3300006973"	"X2124908030"	"X3300022343"	"X3300017512"	"X3300017987"	"X3300022777"	"X3300007084"	"X3300022414"	"X3300022424"	"X3300017582"	"X3300001293"	"X3300019925"	"X3300023202"	"X3300003314"	"X3300017500"	"X3300022426"	"X3300022416"	"X3300022333"	"X3300005141"	"X3300023283"	"X3300000405"	"X3300038324"	"X2236876023"	"X3300004817"	"X3300005070"	"X3300022354"	"X3300022340"	"X3300023197"	"X3300022330"	"X3300006170"	"X3300022397"	"X3300022408"	"X3300017519"	"X3300035158"	"X2004247008"	"X3300022356"	"X3300003623"	"X3300022445"	"X3300022403"	"X3300022317"	"X3300022327"	"X2004247003"	"X3300006160"	"X3300022419"	"X3300022429"	"X3300020206"	"X3300001591"	"X3300007019"	"X3300007029"	"X3300022719"	"X3300023218"	"X3300022352"	"X3300017827"	"X2236876018"	"X3300022321"	"X3300022311"	"X3300022435"	"X2081372007"	"X3300028522"	"X3300022461"	"X3300022457"	"X3300017991"	"X3300028663"	"X3300000554"	"X3300022700"	"X2004247000"	"X3300022359"	"X3300000986"	"X3300022338"	"X3300017516"	"X3300017571"	"X3300022400"	"X3300034152"	"X3300022348"	"X3300017524"	"X3300017514"	"X3300022422"	"X3300001130"	"X3300022412"	"X3300017496"	"X3300007022"	"X3300022451"	"X3300003631"	"X3300009061"	"X3300007537"	"X3300007535"	"X3300007628"	"X3300007668"	"X3300007626"	"X3300007635"	"X3300007983"	"X3300007712"	"X3300007984"	"X3300007633"	"X3300007723"	"taxonomy"
"Caedibacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"unknown"
"Aaosphaeria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;unclassified;Aaosphaeria"
"Ab18virus"	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Viruses;dsDNA viruses, no RNA stage;unclassified;Caudovirales;Siphoviridae;Ab18virus"
"Abidjanvirus"	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	4	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	3	0	0	0	0	0	0	0	0	0	13	0	0	0	68	7	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	41	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	77	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	28	0	1	0	0	0	0	0	0	0	0	0	0	1	20	0	0	1	0	0	0	1	4	0	0	0	0	0	0	16	0	2	0	0	0	1	0	1	0	0	0	0	3	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	3	0	0	21	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;Caudovirales;Siphoviridae;Abidjanvirus"
"Abiotrophia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	4	0	1	3	1	3	0	1	0	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia"
"Abouovirus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;Caudovirales;Myoviridae;Abouovirus"
"Absidia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Mucoromycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia"
"Absiella"	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Absiella"
"Abyssicoccus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Abyssicoccus"
"Abyssisolibacter"	2	0	0	0	0	1	1	1	338	0	0	0	0	0	0	0	0	1	2	0	0	3	0	1	0	0	0	0	0	1	0	0	0	1	18	1	0	1	0	0	0	0	0	32	0	0	18	0	2	1	1	2	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	1	0	3	0	0	0	273	0	0	0	2	0	0	1	1	0	359	229	0	0	2	4	3	1	1	1	0	0	0	0	0	0	0	0	9	0	20	0	1	1	0	0	0	2	0	0	0	0	0	0	0	365	1	0	1	1	0	0	2	36	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	328	1	0	0	0	0	0	0	0	0	0	3	0	616	0	0	1	0	2	0	0	0	0	2	0	0	1	59	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	1	1	290	0	0	2	0	0	0	3	2	0	0	0	0	2	310	0	0	0	0	2	0	1	29	0	3	0	1	1	0	7	0	0	0	0	0	1	0	0	1	0	0	0	0	138	1	0	0	0	0	4	0	0	0	0	1	3	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	1	0	0	1	2	3	153	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Abyssisolibacter"
