"Feature"	"FeatureName"	"Mean.Resolute3(n=3)"	"Mean.SvalbardTaylor(n=6)"	"StdErr.Resolute3(n=3)"	"StdErr.SvalbardTaylor(n=6)"	"FishersTest.Pval"	"FishersTest.adjPval"	"3300038653.Resolute3"	"3300039024.Resolute3"	"3300039023.Resolute3"	"3300061232.SvalbardTaylor"	"3300061231.SvalbardTaylor"	"3300061096.SvalbardTaylor"	"3300061097.SvalbardTaylor"	"3300061098.SvalbardTaylor"	"3300061230.SvalbardTaylor"
"Aaosphaeria"	"Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;unclassified;Aaosphaeria"	"0"	"12"	"0"	"3.3565855667131"	"0.116581633471385"	"0.137895812751939"	"0"	"0"	"0"	"8"	"20"	"13"	"2"	"6"	"23"
"Abidjanvirus"	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;unclassified;Mesyanzhinovviridae;Abidjanvirus"	"0"	"8.33333333333333"	"0"	"4.27135159457103"	"0.264989676381457"	"0.294962508685982"	"0"	"0"	"0"	"12"	"26"	"0"	"0"	"0"	"12"
"Absidia"	"Eukaryota;Mucoromycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia"	"0"	"20.3333333333333"	"0"	"5.68428633261126"	"0.0245657627048428"	"0.0312832685637187"	"0"	"0"	"0"	"29"	"42"	"12"	"5"	"10"	"24"
"Absiella"	"Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Absiella"	"0"	"6"	"0"	"2.62043253427114"	"0.641276341213135"	"0.646522780757358"	"0"	"0"	"0"	"16"	"12"	"2"	"3"	"0"	"3"
"Abyssibacter"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Salinisphaerales;Salinisphaeraceae;Abyssibacter"	"0"	"115"	"0"	"46.8237831306556"	"1.45980476674114e-11"	"3.39627234143748e-11"	"0"	"0"	"0"	"124"	"337"	"52"	"29"	"45"	"103"
"Abyssicoccus"	"Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Abyssicoccus"	"0"	"3.5"	"0"	"0.885061203156784"	"1"	"1"	"0"	"0"	"0"	"6"	"6"	"4"	"2"	"2"	"1"
"Abyssisolibacter"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Abyssisolibacter"	"0"	"28.3333333333333"	"0"	"11.1494892757969"	"0.00330964719027932"	"0.00464074818278116"	"0"	"0"	"0"	"79"	"38"	"6"	"14"	"10"	"23"
"Acadevirus"	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;unclassified;Autographiviridae;Acadevirus"	"0"	"0.166666666666667"	"0"	"0.166666666666667"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"Acajnonavirus"	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;unclassified;Straboviridae;Acajnonavirus"	"0"	"0.666666666666667"	"0"	"0.494413232473044"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"1"
"Acaricomes"	"Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Acaricomes"	"0"	"11.3333333333333"	"0"	"4.38684903369656"	"0.181344072249448"	"0.205454882421228"	"0"	"0"	"0"	"12"	"32"	"5"	"5"	"3"	"11"
"Acaryochloris"	"Bacteria;Cyanobacteriota;Cyanophyceae;Synechococcales;Acaryochloridaceae;Acaryochloris"	"0"	"572.166666666667"	"0"	"156.393609559698"	"2.1510953046347e-55"	"1.25083654374765e-54"	"0"	"0"	"0"	"489"	"1341"	"389"	"343"	"357"	"514"
"Acetanaerobacterium"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetanaerobacterium"	"0"	"14.3333333333333"	"0"	"4.38684903369656"	"0.0784939788747723"	"0.0944758483526561"	"0"	"0"	"0"	"25"	"30"	"8"	"6"	"4"	"13"
"Acetatifactor"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Acetatifactor"	"0"	"10"	"0"	"3.08760964717584"	"0.281327152568027"	"0.306380760308619"	"0"	"0"	"0"	"15"	"23"	"4"	"8"	"4"	"6"
"Acetilactobacillus"	"Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Acetilactobacillus"	"0"	"1.16666666666667"	"0"	"0.792324288266981"	"1"	"1"	"0"	"0"	"0"	"1"	"5"	"0"	"1"	"0"	"0"
"Acetitomaculum"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Acetitomaculum"	"0"	"3"	"0"	"1.18321595661992"	"1"	"1"	"0"	"0"	"0"	"6"	"7"	"1"	"0"	"1"	"3"
"Acetivibrio"	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio"	"0.333333333333333"	"267.5"	"0.333333333333333"	"82.1274416176875"	"2.39171915691207e-24"	"8.3932838759543e-24"	"0"	"0"	"1"	"552"	"448"	"111"	"96"	"86"	"312"
"Acetoanaerobium"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Acetoanaerobium"	"0"	"29.1666666666667"	"0"	"9.37520370149067"	"0.00345050656254409"	"0.00480044421467272"	"0"	"0"	"0"	"62"	"50"	"12"	"8"	"10"	"33"
"Acetobacter"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter"	"0"	"463.833333333333"	"0"	"173.753161442062"	"5.53604527571593e-45"	"2.83799825014301e-44"	"0"	"0"	"0"	"534"	"1242"	"187"	"112"	"166"	"542"
"Acetobacterium"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium"	"0"	"212.833333333333"	"0"	"151.918051739892"	"7.98370734800385e-21"	"2.54778867958211e-20"	"0"	"0"	"0"	"963"	"125"	"18"	"15"	"13"	"143"
"Acetobacteroides"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Acetobacteroides"	"0"	"284.666666666667"	"0"	"98.4627397095526"	"8.61609483076979e-28"	"3.27861850805064e-27"	"0"	"0"	"0"	"620"	"240"	"113"	"71"	"112"	"552"
"Acetohalobium"	"Bacteria;Bacillota;Clostridia;Halanaerobiales;Halobacteroidaceae;Acetohalobium"	"0"	"30.8333333333333"	"0"	"8.77654703045439"	"0.00231946301356471"	"0.00327237318162102"	"0"	"0"	"0"	"41"	"63"	"14"	"16"	"8"	"43"
"Acetomicrobium"	"Bacteria;Synergistota;Synergistia;Synergistales;Acetomicrobiaceae;Acetomicrobium"	"0"	"54.6666666666667"	"0"	"16.0844990941935"	"9.91704018851843e-06"	"1.69011684914963e-05"	"0"	"0"	"0"	"52"	"129"	"29"	"24"	"31"	"63"
"Acetonema"	"Bacteria;Bacillota;Negativicutes;Selenomonadales;Sporomusaceae;Acetonema"	"0"	"66"	"0"	"20.4009803685999"	"1.04302064211902e-06"	"1.88804414539511e-06"	"0"	"0"	"0"	"104"	"142"	"29"	"20"	"25"	"76"
"Acholeplasma"	"Bacteria;Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma"	"0"	"12.3333333333333"	"0"	"3.13758576686669"	"0.116958095849896"	"0.13802347664938"	"0"	"0"	"0"	"15"	"25"	"4"	"6"	"9"	"15"
"Achromatium"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Achromatium"	"0"	"436.5"	"0"	"97.7277681453264"	"2.46500220398949e-42"	"1.21880664530591e-41"	"0"	"0"	"0"	"446"	"901"	"349"	"238"	"288"	"397"
"Achromobacter"	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter"	"0"	"1355.66666666667"	"0"	"499.911303243997"	"1.59254802552897e-130"	"1.57972875349685e-129"	"0"	"0"	"0"	"1514"	"3687"	"563"	"510"	"523"	"1337"
"Acidaminobacter"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XII. Incertae Sedis;Acidaminobacter"	"0"	"43.8333333333333"	"0"	"20.8301330875356"	"0.000100029654620327"	"0.000159374037660028"	"0"	"0"	"0"	"139"	"61"	"11"	"11"	"6"	"35"
"Acidaminococcus"	"Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus"	"0"	"58.5"	"0"	"21.3459598050779"	"4.65795953875167e-06"	"8.11092519682628e-06"	"0"	"0"	"0"	"73"	"152"	"23"	"16"	"19"	"68"
"Acidianus"	"Archaea;Thermoproteota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus"	"0"	"7.5"	"0"	"2.34875853732704"	"0.412455197334107"	"0.437584917966384"	"0"	"0"	"0"	"13"	"16"	"4"	"3"	"2"	"7"
"Acidibacillus"	"Bacteria;Bacillota;Bacilli;Bacillales;unclassified;Acidibacillus"	"0"	"3.33333333333333"	"0"	"1.54200446749605"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"8"	"0"
"Acidibrevibacterium"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidibrevibacterium"	"0"	"336.166666666667"	"0"	"150.248775184507"	"9.36616958387571e-33"	"3.96422818318861e-32"	"0"	"0"	"0"	"322"	"1063"	"139"	"85"	"127"	"281"
"Acidiferrobacter"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Acidiferrobacter"	"0"	"95"	"0"	"18.9508135269527"	"1.47403237491259e-09"	"3.12148032334431e-09"	"0"	"0"	"0"	"101"	"184"	"81"	"51"	"77"	"76"
"Acidihalobacter"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter"	"0"	"261"	"0"	"77.4897842729393"	"1.83452625185017e-25"	"6.64160690500333e-25"	"0"	"0"	"0"	"304"	"614"	"142"	"117"	"124"	"265"
"Acidilobus"	"Archaea;Thermoproteota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus"	"0"	"2.83333333333333"	"0"	"0.945750730607407"	"1"	"1"	"0"	"0"	"0"	"5"	"3"	"2"	"0"	"1"	"6"
"Acidilutibacter"	"Bacteria;Bacillota;Tissierellia;Tissierellales;Acidilutibacteraceae;Acidilutibacter"	"0"	"23.5"	"0"	"8.28150549920323"	"0.0109067041616555"	"0.0144341512325255"	"0"	"0"	"0"	"59"	"32"	"9"	"12"	"4"	"25"
"Acidimangrovimonas"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Acidimangrovimonas"	"0"	"122.166666666667"	"0"	"47.4239156731894"	"3.16842405516382e-12"	"7.55892082855166e-12"	"0"	"0"	"0"	"116"	"347"	"61"	"49"	"34"	"126"
"Acidimicrobium"	"Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium"	"0"	"166.666666666667"	"0"	"48.7809161227808"	"2.48509762170254e-16"	"7.00902533444977e-16"	"0"	"0"	"0"	"110"	"407"	"126"	"100"	"102"	"155"
