"Feature"	"Mean.Resolute3(n=3)"	"Mean.SvalbardTaylor(n=6)"	"StdErr.Resolute3(n=3)"	"StdErr.SvalbardTaylor(n=6)"	"FishersTest.Pval"	"FishersTest.adjPval"	"3300038653.Resolute3"	"3300039024.Resolute3"	"3300039023.Resolute3"	"3300061232.SvalbardTaylor"	"3300061231.SvalbardTaylor"	"3300061096.SvalbardTaylor"	"3300061097.SvalbardTaylor"	"3300061098.SvalbardTaylor"	"3300061230.SvalbardTaylor"
"Aaosphaeria"	"0"	"12"	"0"	"3.3565855667131"	"0.116581633471385"	"0.137895812751939"	"0"	"0"	"0"	"8"	"20"	"13"	"2"	"6"	"23"
"Abidjanvirus"	"0"	"8.33333333333333"	"0"	"4.27135159457103"	"0.264989676381457"	"0.294962508685982"	"0"	"0"	"0"	"12"	"26"	"0"	"0"	"0"	"12"
"Absidia"	"0"	"20.3333333333333"	"0"	"5.68428633261126"	"0.0245657627048428"	"0.0312832685637187"	"0"	"0"	"0"	"29"	"42"	"12"	"5"	"10"	"24"
"Absiella"	"0"	"6"	"0"	"2.62043253427114"	"0.641276341213135"	"0.646522780757358"	"0"	"0"	"0"	"16"	"12"	"2"	"3"	"0"	"3"
"Abyssibacter"	"0"	"115"	"0"	"46.8237831306556"	"1.45980476674114e-11"	"3.39627234143748e-11"	"0"	"0"	"0"	"124"	"337"	"52"	"29"	"45"	"103"
"Abyssicoccus"	"0"	"3.5"	"0"	"0.885061203156784"	"1"	"1"	"0"	"0"	"0"	"6"	"6"	"4"	"2"	"2"	"1"
"Abyssisolibacter"	"0"	"28.3333333333333"	"0"	"11.1494892757969"	"0.00330964719027932"	"0.00464074818278116"	"0"	"0"	"0"	"79"	"38"	"6"	"14"	"10"	"23"
"Acadevirus"	"0"	"0.166666666666667"	"0"	"0.166666666666667"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"Acajnonavirus"	"0"	"0.666666666666667"	"0"	"0.494413232473044"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"1"
"Acaricomes"	"0"	"11.3333333333333"	"0"	"4.38684903369656"	"0.181344072249448"	"0.205454882421228"	"0"	"0"	"0"	"12"	"32"	"5"	"5"	"3"	"11"
"Acaryochloris"	"0"	"572.166666666667"	"0"	"156.393609559698"	"2.1510953046347e-55"	"1.25083654374765e-54"	"0"	"0"	"0"	"489"	"1341"	"389"	"343"	"357"	"514"
"Acetanaerobacterium"	"0"	"14.3333333333333"	"0"	"4.38684903369656"	"0.0784939788747723"	"0.0944758483526561"	"0"	"0"	"0"	"25"	"30"	"8"	"6"	"4"	"13"
"Acetatifactor"	"0"	"10"	"0"	"3.08760964717584"	"0.281327152568027"	"0.306380760308619"	"0"	"0"	"0"	"15"	"23"	"4"	"8"	"4"	"6"
"Acetilactobacillus"	"0"	"1.16666666666667"	"0"	"0.792324288266981"	"1"	"1"	"0"	"0"	"0"	"1"	"5"	"0"	"1"	"0"	"0"
"Acetitomaculum"	"0"	"3"	"0"	"1.18321595661992"	"1"	"1"	"0"	"0"	"0"	"6"	"7"	"1"	"0"	"1"	"3"
"Acetivibrio"	"0.333333333333333"	"267.5"	"0.333333333333333"	"82.1274416176875"	"2.39171915691207e-24"	"8.3932838759543e-24"	"0"	"0"	"1"	"552"	"448"	"111"	"96"	"86"	"312"
"Acetoanaerobium"	"0"	"29.1666666666667"	"0"	"9.37520370149067"	"0.00345050656254409"	"0.00480044421467272"	"0"	"0"	"0"	"62"	"50"	"12"	"8"	"10"	"33"
