"V1","KO","n","Definition"
"KO:K21989","K21989",26,"TMEM63, CSC1; calcium permeable stress-gated cation channel"
"KO:K11153","K11153",17,"RDH12; retinol dehydrogenase 12 [EC:1.1.1.300]"
"KO:K22148","K22148",17,"SIDC; ferricrocin synthase"
"KO:K12132","K12132",16,"prkC, stkP; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]"
"KO:K13526","K13526",16,"ATP13A2; cation-transporting P-type ATPase 13A2 [EC:7.2.2.-]"
"KO:K24781","K24781",16,"BPH1; beige protein homolog 1"
"KO:K21440","K21440",14,"ANKRD50; ankyrin repeat domain-containing protein 50"
"KO:K22684","K22684",14,"MCA1; metacaspase-1 [EC:3.4.22.-]"
"KO:K22721","K22721",12,"CSG1, SUR1, CSH1; inositol phosphorylceramide mannosyltransferase catalytic subunit [EC:2.4.1.370]"
"KO:K20181","K20181",11,"VPS18, PEP3; vacuolar protein sorting-associated protein 18"
"KO:K20407","K20407",11,"MIOS, MIO, SEA4; SEA/GATOR complex protein SEA4/MIOS"
"KO:K20456","K20456",11,"OSBP; oxysterol-binding protein 1"
"KO:K22614","K22614",11,"NLRC3, NOD3; NLR family CARD domain-containing protein 3"
"KO:K22733","K22733",11,"NIPA, SLC57A2S; magnesium transporter"
"KO:K20179","K20179",10,"VPS11, PEP5; vacuolar protein sorting-associated protein 11"
"KO:K20223","K20223",10,"IPO7, RANBP7; importin-7"
"KO:K22686","K22686",10,"NMA111; pro-apoptotic serine protease NMA111 [EC:3.4.21.-]"
"KO:K24814","K24814",10,"HEATR5, LAA1; HEAT repeat-containing protein 5"
"KO:K20047","K20047",9,"PAN1; actin cytoskeleton-regulatory complex protein PAN1"
"KO:K20121","K20121",9,"FNBP1; formin-binding protein 1"
"KO:K20404","K20404",9,"DEPDC5, SEA1; SEA/GATOR complex protein SEA1/DEPDC5"
"KO:K21850","K21850",9,"KRE6; beta-glucan synthesis-associated protein KRE6"
"KO:K22698","K22698",9,"SEY1; protein SEY1 [EC:3.6.5.-]"
"KO:K24160","K24160",9,"NHA1, SOD2; sodium/hydrogen antiporter"
"KO:K19951","K19951",8,"TBC1D8_9; TBC1 domain family member 8/9"
"KO:K20103","K20103",8,"DDX60; ATP-dependent RNA helicase DDX60 [EC:3.6.4.13]"
"KO:K20360","K20360",8,"TBC1D22, GYP1; TBC1 domain family member 2"
"KO:K21842","K21842",8,"EFR3; protein EFR3"
"KO:K21864","K21864",8,"CCH1; voltage-dependent calcium channel"
"KO:K22140","K22140",8,"MGM1; dynamin-like GTPase MGM1, mitochondrial"
"KO:K22248","K22248",8,"TP; alpha,alpha-trehalose phosphorylase (configuration-retaining) [EC:2.4.1.231]"
"KO:K22382","K22382",8,"WDR26; WD repeat-containing protein 26"
"KO:K23481","K23481",8,"VPS1; vacuolar protein sorting-associated protein 1"
"KO:K01309","K01309",7,"MINDY1_2; ubiquitin carboxyl-terminal hydrolase MINDY-1/2 [EC:3.4.19.12]"
"KO:K19801","K19801",7,"PI4KB; phosphatidylinositol 4-kinase B [EC:2.7.1.67]"
"KO:K19983","K19983",7,"EXOC1, SEC3; exocyst complex component 1"
"KO:K20098","K20098",7,"ERCC6L2; DNA excision repair protein ERCC-6-like 2 [EC:5.6.2.-]"
"KO:K20184","K20184",7,"VPS41; vacuolar protein sorting-associated protein 41"
"KO:K20221","K20221",7,"IPO4, RANBP4; importin-4"
"KO:K20306","K20306",7,"TRAPPC9, TRS120; trafficking protein particle complex subunit 9"
"KO:K20475","K20475",7,"SEC39, DSL3; protein transport protein SEC39"
"KO:K20823","K20823",7,"NAA35, MAK10; N-alpha-acetyltransferase 35, NatC auxiliary subunit"
"KO:K21451","K21451",7,"XLNR; xylanolytic transcriptional activator XlnR"
"KO:K23319","K23319",7,"ACLH; flavine halogenase [EC:1.14.14.-]"
"KO:K23329","K23329",7,"HMT1, ACLQ; ATP-binding cassette, subfamily B, vacuolar membrane transporter HMT1/ACLQ"
"KO:K23504","K23504",7,"SERAC1; protein SERAC1"
"KO:K24104","K24104",7,"GPN; GPN-loop GTPase"
"KO:K07756","K07756",6,"IP6K, IHPK; inositol-hexakisphosphate 5-kinase [EC:2.7.4.21]"
"KO:K18083","K18083",6,"MTMR6_7_8; myotubularin-related protein 6/7/8 [EC:3.1.3.64 3.1.3.95]"
"KO:K19852","K19852",6,"KIN1_2; serine/threonine protein kinase KIN1/2 [EC:2.7.11.1]"
"KO:K20040","K20040",6,"HIP1R, SLA2; huntingtin-interacting protein 1-related protein"
"KO:K20046","K20046",6,"SLA1; actin cytoskeleton-regulatory complex protein SLA1"
"KO:K20176","K20176",6,"SGSM3, MAP; small G protein signaling modulator 3"
"KO:K20177","K20177",6,"VPS3, TGFBRAP1; vacuolar protein sorting-associated protein 3"
"KO:K20183","K20183",6,"VPS39, VAM6; Vam6/Vps39-like protein vacuolar protein sorting-associated protein 39"
"KO:K20222","K20222",6,"IPO5, KPNB3, RANBP5; importin-5"
"KO:K20238","K20238",6,"E2.1.1.317; sphingolipid C9-methyltransferase [EC:2.1.1.317]"
"KO:K20279","K20279",6,"SYNJ; synaptojanin [EC:3.1.3.36]"
"KO:K20298","K20298",6,"VPS52; vacuolar protein sorting-associated protein 52"
"KO:K20361","K20361",6,"USO1; intracellular protein transport protein USO1"
"KO:K20403","K20403",6,"TTI1; TELO2-interacting protein 1"
"KO:K20409","K20409",6,"WDR59, SEA3; SEA/GATOR complex protein SEA3/WDR59"
"KO:K20705","K20705",6,"DNMBP, ARHGEF36, TUBA; dynamin-binding protein"
"KO:K20792","K20792",6,"NAA15_16; N-alpha-acetyltransferase 15/16, NatA auxiliary subunit"
"KO:K21421","K21421",6,"NOX2, GP91, CYBB; NADPH oxidase 2 [EC:1.-.-.-]"
"KO:K21618","K21618",6,"DLD3; (R)-2-hydroxyglutarate---pyruvate transhydrogenase [EC:1.1.99.40]"
"KO:K22133","K22133",6,"AAE3; oxalate---CoA ligase [EC:6.2.1.8]"
"KO:K22152","K22152",6,"SIDD; fusarinine C synthase"
"KO:K22441","K22441",6,"paiA; diamine N-acetyltransferase [EC:2.3.1.57]"
"KO:K22503","K22503",6,"DARS1; aspartyl-tRNA synthetase [EC:6.1.1.12]"
"KO:K22745","K22745",6,"AIFM2; apoptosis-inducing factor 2"
"KO:K22913","K22913",6,"FIG4; phosphatidylinositol 3,5-bisphosphate 5-phosphatase [EC:3.1.3.-]"
"KO:K23948","K23948",6,"E1.6.5.9; NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]"
"KO:K01532","K01532",5,"PCA1, CAD2; Cd2+-exporting ATPase [EC:7.2.2.21]"
"KO:K08997","K08997",5,"SELENOO, selO; protein adenylyltransferase [EC:2.7.7.108]"
"KO:K10520","K10520",5,"ABTB1, BPOZ; ankyrin repeat and BTB/POZ domain-containing protein 1"
"KO:K14731","K14731",5,"mlhB, chnC; epsilon-lactone hydrolase [EC:3.1.1.83]"
"KO:K15523","K15523",5,"FN3KRP; protein-ribulosamine 3-kinase [EC:2.7.1.172]"
"KO:K19327","K19327",5,"ANO10, TMEM16K; anoctamin-10"
"KO:K19986","K19986",5,"EXOC8, SEC84; exocyst complex component 8"
"KO:K19998","K19998",5,"SCFD1, SLY1; sec1 family domain-containing protein 1"
"KO:K20182","K20182",5,"VPS33A; vacuolar protein sorting-associated protein 33A"
"KO:K20299","K20299",5,"VPS53; vacuolar protein sorting-associated protein 53"
"KO:K20307","K20307",5,"TRAPPC10, TRS130; trafficking protein particle complex subunit 10"
"KO:K20476","K20476",5,"RIC1; RAB6A-GEF complex partner protein 1"
"KO:K20989","K20989",5,"DUR3; urea-proton symporter"
"KO:K21547","K21547",5,"PRO1, NOSA; C6 transcription factor Pro1"
"KO:K21797","K21797",5,"SAC1, SACM1L; phosphatidylinositol 4-phosphatase [EC:3.1.3.-]"
"KO:K22132","K22132",5,"tcdA; tRNA threonylcarbamoyladenosine dehydratase"
"KO:K22390","K22390",5,"ACP7; acid phosphatase type 7"
"KO:K22531","K22531",5,"ATAD2; ATPase family AAA domain-containing protein 2 [EC:3.6.1.-]"
"KO:K22544","K22544",5,"SAMHD1; deoxynucleoside triphosphate triphosphohydrolase SAMHD1 [EC:3.1.5.-]"
"KO:K22803","K22803",5,"SMC5; structural maintenance of chromosomes protein 5"
"KO:K23010","K23010",5,"OMA1; metalloendopeptidase OMA1, mitochondrial [EC:3.4.24.-]"
"KO:K23336","K23336",5,"ARMC8; armadillo repeat-containing protein 8"
"KO:K23337","K23337",5,"MKLN1; muskelin"
"KO:K24678","K24678",5,"HHAT; protein-cysteine N-palmitoyltransferase HHAT [EC:2.3.1.-]"
"KO:K24810","K24810",5,"IBTK; inhibitor of Bruton tyrosine kinase"
"KO:K03377","K03377",4,"CASD1; N-acetylneuraminate 9-O-acetyltransferase [EC:2.3.1.45]"
"KO:K08518","K08518",4,"STXBP5, SRO7_77; syntaxin-binding protein 5"
"KO:K19842","K19842",4,"ROM1_2; RHO1 GDP-GTP exchange protein 1/2"
"KO:K20032","K20032",4,"ZDHHC13_17, HIP14; palmitoyltransferase ZDHHC13/17 [EC:2.3.1.225]"
"KO:K20224","K20224",4,"IPO9, RANBP9; importin-9"
"KO:K20246","K20246",4,"EGT1; L-histidine Nalpha-methyltransferase / hercynylcysteine S-oxide synthase [EC:2.1.1.44 1.21.3.10]"
"KO:K20247","K20247",4,"EGT2; hercynylcysteine S-oxide lyase [EC:4.4.1.36]"
"KO:K20291","K20291",4,"COG4, COD1; conserved oligomeric Golgi complex subunit 4"
"KO:K20293","K20293",4,"COG6, COD2; conserved oligomeric Golgi complex subunit 6"
"KO:K20296","K20296",4,"ANG2, VPS51; vacuolar protein sorting-associated protein 51"
"KO:K20308","K20308",4,"TRAPPC11; trafficking protein particle complex subunit 11"
"KO:K20353","K20353",4,"SEC16; COPII coat assembly protein SEC16"
"KO:K20363","K20363",4,"YIPF5_7, YIP1; protein YIPF5/7"
"KO:K20410","K20410",4,"MAPKAP1, SIN1, AVO1; target of rapamycin complex 2 subunit MAPKAP1/AVO1"
"KO:K20526","K20526",4,"TAGLN; transgelin"
"KO:K20777","K20777",4,"EXD2; exonuclease 3'-5' domain-containing protein 2 [EC:3.1.11.1]"
