taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Genome Size   * assembled	Gene Count   * assembled	Scaffold Count   * assembled	
3300029898	*Microbiome	Permanent Draft	Cryoconite microbial communities around the Greenland ice sheet	Cryoconite microbial communities from ice sheet in Tasiilaq, Greenland - TAS_U-A1b	DMAC, Technical University of Denmark	3300029898	188451592	336873	207630	
3300005849	*Microbiome	Permanent Draft	Hot spring microbial communities from Yellowstone National Park	Hot spring thermophilic microbial communities from Obsidian Pool, Yellowstone National Park, USA - site 2 B6 (SPADES assembly) (version 5)	DOE Joint Genome Institute (JGI)	3300005849	10151071	11299	1166	
3300014887	*Microbiome	Permanent Draft	Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico	Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico - Guay17, Core 4571-4, 12-15 cm	DOE Joint Genome Institute (JGI)	3300014887	924399502	2242889	1644524	
2053563014	*Microbiome	Permanent Draft	Hot Spring microbial communities from Great Boiling Spring, Nevada	Hot spring sediment microbial communities from Great Boiling Spring, Nevada - surface sediment v1	DOE Joint Genome Institute (JGI)	2053563014	48184699	93338	67397	
3300009475	*Microbiome	Permanent Draft	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS849 no min length	Marine Biological Laboratory	3300009475	140096974	765045	829806	
3300022399	*Microbiome	Permanent Draft	Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia	Microbial mat bacterial and archaeal communities from Herschel Lake, Rottnest Island (WA - Australia) - HL3WBGP1 JM61	AGRF	3300022399	51098183	79882	44490	
3300003514	*Microbiome	Permanent Draft	Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific Ocean	Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific ocean - Sample FS821_Marshmallow_DNA		3300003514	75613494	163260	124346	
3300031966	*Microbiome	Permanent Draft	Phototrophic mat microbial and viral communities from various hot springs in Yellowstone National Park, Wyoming, United States	Hot spring phototrophic mat microbial communities from Mushroom Spring, Yellowstone National Park, Wyoming, United States - 20090730_MS55	DOE Joint Genome Institute (JGI)	3300031966	501836865	1029721	771021	
3300019380	*Microbiome	Permanent Draft	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean	Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS848 IDBA reassembly renamed	Marine Biological Laboratory	3300019380	48114812	64539	25315	
3300018939	*Microbiome	Permanent Draft	Biological soil crust microbial communities from Moab Desert,  Utah to study responses to pulsed climate events	Soil crust microbial communities from Colorado Plateau, Utah, USA - midlate stage, 9 hrs after wetting v1	QB3 Vincent J. Coates Genomics Sequencing Laboratory	3300018939	308002196	635354	469325	
