Genome ID	Submission ID	JGI Data Set	Domain	Genome Name	Modified Date	Modified By	Is Public	Comments	
651717017		 	GFragment:Eukaryota	Penicillium chrysogenum Wisconsin 54-1255	2014-08-05		Yes	marked obsolete per Nikos	
651716809		 	GFragment:Eukaryota	Penicillium expansum	2023-04-30	Krishna Palaniappan	Yes	Gfragment replaced by IMG Taxon of whole genome: 2761201875	
651716852		 	GFragment:Eukaryota	Botryotinia fuckeliana T4	2023-08-18	Krishna Palaniappan	Yes	Per Nikos and IMG meeting notes - 8/2/23, obsolete GFragments	
651716878		 	GFragment:Eukaryota	Leptosphaeria maculans IBCN 18	2023-08-18	Krishna Palaniappan	Yes	Per Nikos and IMG meeting notes - 8/2/23, obsolete GFragments	
651716928		 	GFragment:Eukaryota	Gibberella zeae PH-1	2014-08-05		Yes	marked obsolete per Nikos	
651716996		 	GFragment:Eukaryota	Neotyphodium lolii Lp19	2023-08-18	Krishna Palaniappan	Yes	Per Nikos and IMG meeting notes - 8/2/23, obsolete GFragments	
651717107		 	GFragment:Eukaryota	Sordaria macrospora k-hell	2023-08-18	Krishna Palaniappan	Yes	Per Nikos and IMG meeting notes - 8/2/23, obsolete GFragments	
651717151		 	GFragment:Eukaryota	Emericella nidulans	2023-04-30	Krishna Palaniappan	Yes	Gfragment replaced by IMG Taxon of whole genome: 640281000	
651716553		 	GFragment:Eukaryota	Aspergillus oryzae RIB40	2023-04-30	Krishna Palaniappan	Yes	Gfragment to be replaced by IMG Taxon of whole genome from AP: Ga0131349	
651716618		 	GFragment:Eukaryota	Aspergillus terreus ATCC 20542	2023-04-30	Krishna Palaniappan	Yes	Gfragment replaced by IMG Taxon of whole genome: 2582581344	
651716617		 	GFragment:Eukaryota	Aspergillus terreus ATCC 20542	2023-04-30	Krishna Palaniappan	Yes	Gfragment replaced by IMG Taxon of whole genome: 2582581344	
640281001		 	Eukaryota	Entamoeba histolytica HM-1:IMSS	2014-08-05	IMG_PIPELINE	Yes	marked obsolete per Nikos	
640281004		 	Eukaryota	Candida albicans SC5314	2017-07-11	Krishna Palaniappan	Yes	Marked obsolete per submitter request:	
640281010		 	Eukaryota	Scheffersomyces stipitis CBS 6054	2018-03-07	Amy Chen	Yes	duplicate fungal genome -- marked obsolete per Natalia and Igor Grigoriev	
640281016		 	Eukaryota	Leishmania major Friedlin V1	2017-07-11	Krishna Palaniappan	Yes	Marked obsolete per submitter request:	
2500819008	289	 	Eukaryota	Chlamydomonas reinhardtii	2017-08-01	Amy Chen	Yes	marked obsolete per Natalia	
643280123		 	Eukaryota	Saccharomyces cerevisiae AWRI1631	2014-08-05	IMG_PIPELINE	Yes	marked obsolete per Nikos	
643280125		 	Eukaryota	Babesia bovis T2Bo	2014-08-05	IMG_PIPELINE	Yes	marked obsolete per Nikos	
645666421		 	Eukaryota	Postia placenta Mad-698-R	2018-03-07	Amy Chen	Yes	duplicate fungal genome -- marked obsolete per Natalia and Igor Grigoriev	
645666408		 	Eukaryota	Coccidioides immitis RS	2014-08-05	IMG_PIPELINE	Yes	marked obsolete per Nikos	
645666410		 	Eukaryota	Laccaria bicolor S238N-H82	2018-03-07	Amy Chen	Yes	duplicate fungal genome -- marked obsolete per Natalia and Igor Grigoriev	
2502545045	1147	 	Eukaryota	Sclerotinia sclerotiorum 1980 UF-70 (S.sclerotiorum Nuclear)	2014-08-05	Victor M Markowitz	Yes	Duplicate isolate genomes, deleted after review by Nikos on Jan 30, 2014	
651716869		 	Eukaryota	Aspergillus flavus AF70	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651717053		 	Eukaryota	Hypomyces subiculosus DSM 11932	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651717011		 	Eukaryota	Penicillium lilacinoechinulatum IBT 28164	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651717106		 	Eukaryota	Alternaria brassicicola MUCL 202097	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651717117		 	Eukaryota	Metarhizium anisopliae ARSEF 2575	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651717120		 	Eukaryota	Fusarium incarnatum	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
2506210006	2917	 	Eukaryota	Cercospora sojina	2014-08-05	Victor M Markowitz	Yes	Duplicate isolate genomes (associated with the same GOLD ID) deleted after review by Nikos (March 18 2014)	
651717054		 	Eukaryota	Pochonia chlamydosporia ATCC 16683	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651716813		 	Eukaryota	Aspergillus flavus NRRL 6541	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651716867		 	Eukaryota	Aspergillus flavus AF13	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651717010		 	Eukaryota	Trichoderma virens G20-4B	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651716621		 	Eukaryota	Fusarium verticillioides M-3125	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651716832		 	Eukaryota	Aspergillus ochraceoroseus SRRC 1432	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651716868		 	Eukaryota	Aspergillus flavus BN008	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651716885		 	Eukaryota	Fusarium heterosporum ATCC 74349	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651716677		 	Eukaryota	Fusarium graminearum H-11	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
2507149003	5946	 	Eukaryota	Selaginella moellendorfii	2014-08-05		Yes	marked obsolete per Nikos	
651716871		 	Eukaryota	Aspergillus flavus AF36	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651716801		 	Eukaryota	Cordyceps bassiana	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
2507525003	6162	 	Eukaryota	Theileria annulata Ankara C9	2017-07-11	Krishna Palaniappan	Yes	Marked obsolete per submitter request:Kostas Mavrommatis	
2507525019	6192	 	Eukaryota	Selaginella moellendorfii	2018-03-07	Amy Chen	Yes	duplicate genome -- marked obsolete per Reddy	
648943107		 	Eukaryota	Nectria haematococca MPVI 77-13-4	2018-03-07	Amy Chen	Yes	duplicate fungal genome -- marked obsolete per Natalia and Igor Grigoriev	
648943110		 	Eukaryota	Schizophyllum commune H4-8	2014-08-05		Yes	marked obsolete per Nikos	
649328901		 	Eukaryota	Babesia bovis T2Bo	2024-01-31	Supratim Mukherjee	Yes	Replaced by 2931411257 SM 1.29.24	
649410507		 	Eukaryota	Sorghum bicolor BTx623	2014-08-05		Yes	marked obsolete per Nikos	
2140918028	2467	 	Eukaryota	Bankia setacea BS02	2014-08-05	Victor M Markowitz	Yes	Genomes deleted per second review Nikos & al Feb 5 2014	
2140918029	2468	 	Eukaryota	Bankia setacea BS08	2014-08-05	Victor M Markowitz	Yes	Genomes deleted per second review Nikos & al Feb 5 2014	
2510461071	7076	 	Eukaryota	Orpinomyces sp. C1A (Transcriptome_Cellobiose)	2014-08-05	Victor M Markowitz	Yes	Deleted duplicate genomes afer a review by Nikos, Jan 30 2014	
2509276039	6501	 	Eukaryota	Phytophthora infestans	2014-08-05	Victor M Markowitz	Yes	Per Nikos, this is dataset contains only two genes- not useful	
651716870		 	Eukaryota	Aspergillus nomiae AN13137	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651716886		 	Eukaryota	Epichloe uncinata CBS 102646	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651716895		 	Eukaryota	Aspergillus fumigatus	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651716945		 	Eukaryota	Monascus pilosus	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651716948		 	Eukaryota	Penicillium chrysogenum AS-P-78	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651717043		 	Eukaryota	Monascus aurantiacus AS3.4384	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651717050		 	Eukaryota	Fusarium oxysporum FRC O-1890	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
651717052		 	Eukaryota	Hypomyces subiculosus DSM 11931	2023-12-19	Amy Chen	Yes	Marked obsolete per Rekha -- IUI-268	
