Domain,Phylum,Class,Order,Family,Genus
Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Setosphaeria
Eukaryota,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Glarea
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Meliniomyces
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Pezoloma
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,unclassified,Chalara
Eukaryota,Ascomycota,Leotiomycetes,Helotiales,unclassified,Phialocephala
Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,unclassified Saccharomycetaceae
Eukaryota,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Acremonium
Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Claviceps
Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps
Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypomyces
Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,unclassified,Sarocladium
Eukaryota,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Magnaporthe
Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Thielavia
Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius
Eukaryota,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Antrodia
Eukaryota,Chytridiomycota,Chytridiomycetes,Chytridiales,Chytriomycetaceae,Rhizoclosmatium
Eukaryota,Microsporidia,unclassified,unclassified,Nosematidae,Nosema
Eukaryota,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora
Eukaryota,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella
