#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__unknown;class__unknown	5	4	4	14509	14171	16255	0	1	0	0	197	16	4	5	0	15	3
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	106	63
root__Root;domain__Eukaryota;phylum__unknown;class__Ulvophyceae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea	10	10	0	0	0	0	0	0	0	0	0	0	0	5	25	892	0
root__Root;domain__Eukaryota;phylum__unknown;class__Trebouxiophyceae	196	84	112	43	45	52	0	0	0	4	124	21	12	19	0	5	13
root__Root;domain__Eukaryota;phylum__unknown;class__Raphidophyceae	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Prasinophytae	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Pinguiophyceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Phaeophyceae	0	0	0	3	2	4	0	0	0	0	0	0	0	0	0	2	1
root__Root;domain__Eukaryota;phylum__unknown;class__Pelagophyceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Palmophyllophyceae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Mamiellophyceae	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Ichthyosporea	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Filasterea	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Eustigmatophyceae	12	44	31	1501	1323	1224	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Discosea	2	0	0	1	0	0	0	0	0	0	23	8	17	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae	0	0	1	1037	1065	1188	0	0	0	0	0	0	0	0	0	0	0
