#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown	2	0	3	2011	1795	2027	0	0	0	0	0	0	4	5	0	15	3
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__Glaucophyta	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Jakobida;family__unknown	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Cryptomonadales;family__unknown	1	0	0	12498	12375	14226	0	0	0	0	197	16	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Amb-18S-504;family__unknown	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae;order__unknown;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	72	44
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae;order__Vaucheriales;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae;order__Mischococcales;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	3
root__Root;domain__Eukaryota;phylum__unknown;class__Ulvophyceae;order__unknown;family__unknown	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown;family__unknown	6	6	0	0	0	0	0	0	0	0	0	0	0	5	21	892	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown;family__Arcellina	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__Echinamoebida;family__unknown	2	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Trebouxiophyceae;order__unknown;family__unknown	196	84	112	43	45	52	0	0	0	4	124	21	12	19	0	5	13
root__Root;domain__Eukaryota;phylum__unknown;class__Raphidophyceae;order__Chattonellales;family__unknown	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Prasinophytae;order__unknown;family__unknown	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Pinguiophyceae;order__Pinguiochrysidales;family__unknown	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Phaeophyceae;order__unknown;family__unknown	0	0	0	3	2	4	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Palmophyllophyceae;order__Palmophyllales;family__unknown	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Mamiellophyceae;order__unknown;family__unknown	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Mamiellophyceae;order__Mamiellales;family__unknown	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Mamiellophyceae;order__Dolichomastigales;family__unknown	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Filasterea;order__Ministeriida;family__Capsasporidae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Eustigmatophyceae;order__Eustigmatales;family__unknown	12	44	31	1501	1323	1224	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Discosea;order__Vannellida;family__unknown	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Discosea;order__Centramoebida;family__unknown	2	0	0	1	0	0	0	0	0	0	23	6	13	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__unknown;family__unknown	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__Pedinellales;family__unknown	0	0	0	1011	1032	1153	0	0	0	0	0	0	0	0	0	0	0
