#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__unknown	2	0	2	227	141	147	0	0	0	0	0	0	1	4	0	7	3
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Telonema	0	0	0	1500	1404	1561	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Mycamoeba	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Goniomonas	0	0	0	1	2	3	0	0	0	0	0	0	1	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Dictyamoeba	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Bolidomonas	0	0	0	282	248	316	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__Glaucophyta;genus__Glaucocystis	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Jakobida;family__unknown;genus__Andalucia	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Cryptomonadales;family__unknown;genus__unknown	0	0	0	4716	4633	5288	0	0	0	0	87	9	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Cryptomonadales;family__unknown;genus__uncultured	0	0	0	6	8	8	0	0	0	0	0	0	0	0	0	0	0
