#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown	2	0	3	2011	1796	2028	0	0	0	0	0	0	4	5	0	15	3
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Jakobida	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Cryptomonadales	1	0	0	12498	12375	14226	0	0	0	0	197	16	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Amb-18S-504	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae;order__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	72	44
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae;order__Vaucheriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae;order__Mischococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	3
root__Root;domain__Eukaryota;phylum__unknown;class__Ulvophyceae;order__unknown	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown	8	7	0	0	0	0	0	0	0	0	0	0	0	5	21	892	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__Echinamoebida	2	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Trebouxiophyceae;order__unknown	196	84	112	43	45	52	0	0	0	4	124	21	12	19	0	5	13
root__Root;domain__Eukaryota;phylum__unknown;class__Raphidophyceae;order__Chattonellales	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Prasinophytae;order__unknown	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Pinguiophyceae;order__Pinguiochrysidales	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Phaeophyceae;order__unknown	0	0	0	3	2	4	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Palmophyllophyceae;order__Palmophyllales	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Mamiellophyceae;order__unknown	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Mamiellophyceae;order__Mamiellales	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Mamiellophyceae;order__Dolichomastigales	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Filasterea;order__Ministeriida	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Eustigmatophyceae;order__Eustigmatales	12	44	31	1501	1323	1224	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Discosea;order__Vannellida	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Discosea;order__Centramoebida	2	0	0	1	0	0	0	0	0	0	23	6	13	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__unknown	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__Pedinellales	0	0	0	1011	1032	1153	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Dictyochophyceae;order__Dictyochales	0	0	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__CladeVII;order__SubcladeB	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__CladeVII;order__SubcladeA	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__CladeIX;order__unknown	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__unknown	2	0	0	3	4	2	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__uncultured	0	0	0	321	328	349	0	0	0	0	0	0	0	3	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Synurales	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__P34.48	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__P34.45	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Ochromonadales	0	0	0	443	413	478	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__unknown;class__Chrysophyceae;order__Chromulinales	2	2	1	8	13	9	0	0	0	0	0	0	0	44	0	106	0
