#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_99171	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	2	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_99128	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_98799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_98574	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_50119	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_25792	0	0	0	13	4	8	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_225841	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_13557	0	0	0	214	136	139	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Telonema;otu__silva_138_complink_cons_otu_55187	0	0	0	345	347	390	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Telonema;otu__silva_138_complink_cons_otu_192550	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Telonema;otu__silva_138_complink_cons_otu_18770	0	0	0	226	192	210	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Telonema;otu__silva_138_complink_cons_otu_181770	0	0	0	10	13	19	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Telonema;otu__silva_138_complink_cons_otu_177818	0	0	0	3	1	7	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Telonema;otu__silva_138_complink_cons_otu_110677	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Mycamoeba;otu__silva_138_complink_cons_otu_97678	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Mycamoeba;otu__silva_138_complink_cons_otu_30335	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Goniomonas;otu__silva_138_complink_cons_otu_57442	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Goniomonas;otu__silva_138_complink_cons_otu_28932	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Goniomonas;otu__silva_138_complink_cons_otu_26586	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Dictyamoeba;otu__silva_138_complink_cons_otu_8920	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Dictyamoeba;otu__silva_138_complink_cons_otu_219267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Bolidomonas;otu__silva_138_complink_cons_otu_55202	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Bolidomonas;otu__silva_138_complink_cons_otu_3982	0	0	0	6	8	14	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Bolidomonas;otu__silva_138_complink_cons_otu_217510	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Bolidomonas;otu__silva_138_complink_cons_otu_191542	0	0	0	235	205	272	0	0	0	0	0	0	0	0	0	0	0
