#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__unknown	290	197	206	33581	32052	33730	0	3	0	5	362	58	41	236	26	1252	125
root__Root;domain__Eukaryota;phylum__uncultured	0	0	1	41	29	40	0	0	0	0	0	0	0	1	0	42	1
root__Root;domain__Eukaryota;phylum__Zoopagomycota	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0
root__Root;domain__Eukaryota;phylum__Vertebrata	0	0	0	2	4	1	3	0	1	0	0	0	8	0	0	1	0
root__Root;domain__Eukaryota;phylum__Tardigrada	0	0	1	0	0	0	0	0	0	0	0	0	0	554	0	889	388
root__Root;domain__Eukaryota;phylum__Schizoplasmodiida	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1
root__Root;domain__Eukaryota;phylum__SAR	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	6	1
root__Root;domain__Eukaryota;phylum__Rotifera	0	2	14	0	0	0	0	0	0	0	44	33	15	67	0	39	31
root__Root;domain__Eukaryota;phylum__Retaria	1	0	0	0	0	1	0	0	0	36	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae	0	0	0	11218	10715	11895	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Protalveolata	0	1	3	17	8	14	0	0	0	16	0	0	0	1	0	1	1
root__Root;domain__Eukaryota;phylum__Porifera	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Platyhelminthes	0	0	0	0	0	0	0	0	0	0	0	75	49	0	0	0	0
root__Root;domain__Eukaryota;phylum__Phragmoplastophyta	665	889	1193	1352	1262	1316	0	0	0	1	8	15	17	56	28	24	12
