#Exported for mctoolsr
"#OTU_ID"	"X11HMC"	"X12HMC"	"X13HMC"	"BON01"	"BON02"	"BON03"	"HotLakConsUCCSLE"	"Mar14236cm"	"Mar14336cm"	"Mar14436cm"	"OV2TP1"	"OV2TP2"	"OV2TP3"	"SSSS"	"VSG"	"frozenSSSS"	"grotaG"	"taxonomy"
"otu_11883"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Zoopagomycota;Entomophthoromycetes;Entomophthorales;uncultured;NA;NA;otu_11883"
"otu_15420"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Zoopagomycota;Entomophthoromycetes;Entomophthorales;Entomophthoraceae;Entomophthora;NA;otu_15420"
"otu_15413"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Zoopagomycota;Entomophthoromycetes;Entomophthorales;Ancylistaceae;Conidiobolus;NA;otu_15413"
"otu_14938"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"Eukaryota;Zoopagomycota;Entomophthoromycetes;Entomophthorales;Ancylistaceae;Conidiobolus;NA;otu_14938"
"otu_13891"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	"Eukaryota;Mucoromycota;IncertaeSedis;Mucorales;Mucoraceae;Mucor;NA;otu_13891"
"otu_219755"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Eukaryota;Mucoromycota;IncertaeSedis;Mortierellales;Mortierellaceae;Mortierella;NA;otu_219755"
"otu_30132"	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Mucoromycota;Glomeromycetes;Glomerales;uncultured;NA;NA;otu_30132"
"otu_6731"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"Eukaryota;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus;NA;otu_6731"
"otu_98595"	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Monoblepharidomycetes;Monoblepharidales;NA;NA;NA;otu_98595"
"otu_218977"	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Monoblepharidomycetes;Monoblepharidales;NA;NA;NA;otu_218977"
"otu_233304"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Monoblepharidomycetes;Monoblepharidales;NA;Hyaloraphidium;NA;otu_233304"
"otu_212768"	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;NA;NA;NA;NA;otu_212768"
"otu_125359"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;uncultured;NA;NA;NA;otu_125359"
"otu_110240"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;uncultured;NA;NA;NA;otu_110240"
"otu_110245"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;uncultured;NA;NA;otu_110245"
"otu_224895"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces;NA;otu_224895"
"otu_42474"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Phlyctochytrium;NA;otu_42474"
"otu_164696"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;NA;NA;otu_164696"
"otu_110246"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Geranomyces;NA;otu_110246"
"otu_110237"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Geranomyces;NA;otu_110237"
"otu_39305"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Rhizophydiales;uncultured;NA;NA;otu_39305"
"otu_11895"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Rhizophydiales;uncultured;NA;NA;otu_11895"
"otu_11892"	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Rhizophydiaceae;Rhizophydium;NA;otu_11892"
"otu_176903"	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Rhizophlyctidales;Rhizophlyctidaceae;Rhizophlyctis;NA;otu_176903"
"otu_110241"	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;IncertaeSedis;IncertaeSedis;NA;NA;otu_110241"
"otu_110242"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;IncertaeSedis;IncertaeSedis;Catenomyces;NA;otu_110242"
"otu_60181"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Gromochytriales;Gromochytriaceae;uncultured;NA;otu_60181"
"otu_60178"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Gromochytriales;Gromochytriaceae;uncultured;NA;otu_60178"
"otu_194764"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Gromochytriales;Gromochytriaceae;uncultured;NA;otu_194764"
"otu_6631"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Cladochytriales;Nowakowskiellaceae;Nowakowskiella;NA;otu_6631"
"otu_225062"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Rhizoclosmatium;NA;otu_225062"
"otu_39313"	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;NA;NA;NA;otu_39313"
"otu_6629"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Physodermataceae;NA;NA;otu_6629"
"otu_28088"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Physodermataceae;Physoderma;NA;otu_28088"
"otu_31603"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	"Eukaryota;Basidiomycota;NA;NA;NA;NA;NA;otu_31603"
"otu_205565"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon;NA;otu_205565"
"otu_179013"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"Eukaryota;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;NA;otu_179013"
"otu_1221"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Eukaryota;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;NA;otu_1221"
"otu_405"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"Eukaryota;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Tausonia;NA;otu_405"
"otu_163530"	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	137	98	"Eukaryota;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Mrakia;NA;otu_163530"
"otu_1190"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	"Eukaryota;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Itersonilia;NA;otu_1190"
"otu_37208"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	5	"Eukaryota;Basidiomycota;Spiculogloeomycetes;Spiculogloeales;Spiculogloeaceae;Phyllozyma;NA;otu_37208"
"otu_122166"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	"Eukaryota;Basidiomycota;Microbotryomycetes;Kriegeriales;NA;NA;NA;otu_122166"
"otu_218937"	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	4	"Eukaryota;Basidiomycota;Microbotryomycetes;Kriegeriales;Camptobasidiaceae;NA;NA;otu_218937"
"otu_19387"	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	9	1	"Eukaryota;Basidiomycota;Microbotryomycetes;Kriegeriales;Camptobasidiaceae;Camptobasidium;NA;otu_19387"
"otu_50117"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	"Eukaryota;Basidiomycota;Microbotryomycetes;IncertaeSedis;Chrysozymaceae;NA;NA;otu_50117"
"otu_102340"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;NA;otu_102340"
"otu_102275"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;NA;otu_102275"
"otu_199443"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Basidiomycota;Exobasidiomycetes;Microstromatales;Microstromataceae;Microstroma;NA;otu_199443"
"otu_9266"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Basidiomycota;Dacrymycetes;Dacrymycetales;Dacrymycetaceae;Dacrymyces;NA;otu_9266"
"otu_41539"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Basidiomycota;Agaricomycetes;NA;NA;NA;NA;otu_41539"
"otu_26149"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"Eukaryota;Basidiomycota;Agaricomycetes;Russulales;Lachnocladiaceae;Scytinostroma;NA;otu_26149"
"otu_15165"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"Eukaryota;Basidiomycota;Agaricomycetes;Corticiales;Corticiaceae;Sistotrema;NA;otu_15165"
"otu_50077"	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Basidiomycota;Agaricomycetes;Boletales;uncultured;NA;NA;otu_50077"
"otu_12641"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	"Eukaryota;Basidiomycota;Agaricomycetes;Boletales;Serpulaceae;Serpula;NA;otu_12641"
"otu_102061"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;NA;NA;NA;otu_102061"
"otu_13019"	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;NA;Tulostoma;NA;otu_13019"
"otu_182658"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;NA;Neohygrocybe;NA;otu_182658"
"otu_50210"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;uncultured;NA;NA;otu_50210"
"otu_26719"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	"Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;uncultured;NA;NA;otu_26719"
"otu_38084"	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;NA;NA;otu_38084"
"otu_41980"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Mycena;NA;otu_41980"
"otu_185556"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Phaeomarasmius;NA;otu_185556"
"otu_50158"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	"Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;uncultured;NA;otu_50158"
"otu_48384"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Entoloma;NA;otu_48384"
"otu_217852"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Macrolepiota;NA;otu_217852"
"otu_98646"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"Eukaryota;Ascomycota;NA;NA;NA;NA;NA;otu_98646"
"otu_50233"	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	3	0	"Eukaryota;Ascomycota;NA;NA;NA;NA;NA;otu_50233"
"otu_27543"	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Ascomycota;NA;NA;NA;NA;NA;otu_27543"
"otu_162160"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	"Eukaryota;Ascomycota;NA;NA;NA;NA;NA;otu_162160"
"otu_14475"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Ascomycota;NA;NA;NA;NA;NA;otu_14475"
"otu_211711"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"Eukaryota;Ascomycota;NA;NA;NA;Rhopalophora;NA;otu_211711"
"otu_95874"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	"Eukaryota;Ascomycota;uncultured;NA;NA;NA;NA;otu_95874"
"otu_206641"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"Eukaryota;Ascomycota;uncultured;NA;NA;NA;NA;otu_206641"
"otu_197911"	0	1	3	0	0	0	0	0	0	0	0	0	0	16	0	86	2	"Eukaryota;Ascomycota;uncultured;NA;NA;NA;NA;otu_197911"
"otu_39346"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"Eukaryota;Ascomycota;Xylonomycetes;IncertaeSedis;IncertaeSedis;Symbiotaphrina;NA;otu_39346"
"otu_42060"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Ascomycota;Sordariomycetes;NA;NA;NA;NA;otu_42060"
"otu_125835"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Ascomycota;Sordariomycetes;NA;NA;NA;NA;otu_125835"
"otu_163557"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Sordariomycetes;Xylariales;NA;NA;NA;otu_163557"
"otu_31823"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;NA;NA;otu_31823"
"otu_3960"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"Eukaryota;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Xylaria;NA;otu_3960"
"otu_24391"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Muscodor;NA;otu_24391"
"otu_3959"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"Eukaryota;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Geniculisynnema;NA;otu_3959"
"otu_194942"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Ascomycota;Sordariomycetes;Sordariales;NA;NA;NA;otu_194942"
"otu_232794"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Sordaria;NA;otu_232794"
"otu_169"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Chaetomium;NA;otu_169"
"otu_4043"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	"Eukaryota;Ascomycota;Sordariomycetes;Sordariales;Cephalothecaceae;Phialemonium;NA;otu_4043"
"otu_4041"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Sordariomycetes;Sordariales;Cephalothecaceae;Cephalotheca;NA;otu_4041"
"otu_226161"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	"Eukaryota;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Raffaelea;NA;otu_226161"
"otu_462"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"Eukaryota;Ascomycota;Sordariomycetes;Microascales;Graphiaceae;Graphium;NA;otu_462"
"otu_13150"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae;Pseudohalonectria;NA;otu_13150"
"otu_81552"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	"Eukaryota;Ascomycota;Sordariomycetes;Lulworthiales;Lulworthiaceae;Lulwoana;NA;otu_81552"
"otu_196837"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"Eukaryota;Ascomycota;Sordariomycetes;IncertaeSedis;IncertaeSedis;NA;NA;otu_196837"
"otu_14902"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"Eukaryota;Ascomycota;Sordariomycetes;IncertaeSedis;IncertaeSedis;NA;NA;otu_14902"
"otu_82420"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Stachybotryaceae;Myrothecium;NA;otu_82420"
"otu_214705"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Tolypocladium;NA;otu_214705"
"otu_152154"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Tolypocladium;NA;otu_152154"
"otu_433"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Nectria;NA;otu_433"
"otu_178792"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;IncertaeSedis;NA;NA;otu_178792"
"otu_232529"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;IncertaeSedis;Trichothecium;NA;otu_232529"
"otu_176992"	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	"Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;IncertaeSedis;Acremonium;NA;otu_176992"
"otu_125702"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	"Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;IncertaeSedis;Acremonium;NA;otu_125702"
"otu_125692"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	"Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;IncertaeSedis;Acremonium;NA;otu_125692"
"otu_33827"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;NA;otu_33827"
"otu_179349"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps;NA;otu_179349"
"otu_152155"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps;NA;otu_152155"
"otu_217874"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Sordariomycetes;Diaporthales;Cryphonectriaceae;Cryphonectria-Endothiacomplex;NA;otu_217874"
"otu_702"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Trichomonascus;NA;otu_702"
"otu_579"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Blastobotrys;NA;otu_579"
"otu_57638"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycopsidaceae;Saccharomycopsis;NA;otu_57638"
"otu_232791"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycopsidaceae;Saccharomycopsis;NA;otu_232791"
"otu_232789"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora;NA;otu_232789"
"otu_227253"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;NA;otu_227253"
"otu_151"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;NA;otu_151"
"otu_1096"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Nakaseomyces-Candidaclade;NA;otu_1096"
"otu_147"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Lachancea;NA;otu_147"
"otu_33724"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces;NA;otu_33724"
"otu_1079"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Ogataea-Candidaclade;NA;otu_1079"
"otu_1078"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Ogataea-Candidaclade;NA;otu_1078"
"otu_21358"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Brettanomyces;NA;otu_21358"
"otu_688"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Starmera-Candidaclade;NA;otu_688"
"otu_218228"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Barnettozyma-Candidaclade;NA;otu_218228"
