"sampleID"	"taxon_oid"	"Domain"	"Sequencing.Status"	"Study.Name"	"Genome.Name...Sample.Name"	"Sequencing.Center"	"IMG.Genome.ID"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"GOLD.Analysis.Project.Type"	"Add.Date"	"Assembly.Method"	"Comments"	"Has.Coverage"	"Is.Public"	"Release.Date"	"User.Access"	"Contact.Email"	"Contact.Name"	"Is.Published"	"Sequencing.Method"	"Ecosystem"	"Ecosystem.Category"	"Ecosystem.Subtype"	"Ecosystem.Type"	"Specific.Ecosystem"	"Altitude.In.Meters"	"Depth.In.Meters"	"Elevation.In.Meters"	"Geographic.Location"	"Habitat"	"Isolation.Country"	"Latitude"	"Longitude"	"Genome.Size.....assembled"	"Gene.Count.....assembled"	"JGI.Data.Utilization.Status"	"X"	"Use"	"Environment"
"X3300023218"	3300023218	"*Microbiome"	"Permanent Draft"	"Solar saltern microbial communities from the Namib Desert"	"Sediment microbial communities from solar saltern in the Namib Desert, Gobabeb, Namibia - Hosabes sink 2016"	"Genewiz Inc."	3300023218	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Microbial mats"	"Solar saltern microbial communities from the Namib Desert"	"Metagenome Analysis"	"2018-02-18"	"SPAdes v. 3.9.0"	"released by JGI data releasing policy"	"Yes"	"Yes"	"2021-03-03"	NA	"don.cowan@up.ac.za"	"Don Cowan"	"No"	"Illumina HiSeq X Ten"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Microbial mats"	NA	""	"428"	"Hosabes solar saltern, Gobabeb, Erongo region, Namibia"	"Microbial mat and sediment"	"Namibia"	"-23.5071944"	"15.07105556"	727361195	990345	""	NA	"Use"	"Hypersaline"
"X2016842008"	2016842008	"*Microbiome"	"Draft"	"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA"	"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP20 Bath Lake Vista Annex - Purple-Sulfur Mats v1"	"DOE Joint Genome Institute (JGI)"	2016842008	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Microbial mats"	"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA"	"Metagenome Analysis"	"2009-04-20"	"lucy / pga"	"released based on JGI ITS"	"No"	"Yes"	"2022-03-25"	NA	"binskeep@montana.edu"	"William Inskeep, William P. Inskeep"	"Yes"	"Sanger"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Microbial mats"	NA	""	"2061"	"Yellowstone National Park, WY"	"Hot spring"	"USA"	"44.96507"	"-110.71215"	41493403	57652	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300008062"	3300008062	"*Microbiome"	"Permanent Draft"	"Marine sediment microbial communities from shallow-sea hydrothermal vent, Milos, Greece"	"Marine sediment microbial communities from shallow-sea hydrothermal vent, Milos, Greece - SG7"	"National Aeronautics and Space Administration (NASA)"	3300008062	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Sediment"	"Marine sediment microbial communities from shallow-sea hydrothermal vent, Milos, Greece"	"Metagenome Analysis"	"2016-03-28"	"IDBA-UD"	"released per JGI data release policy"	"No"	"Yes"	"2019-11-01"	NA	"momper@usc.edu"	"Lily Momper"	"No"	""	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Sediment"	NA	".01 to .2"	""	"Milos, Greece"	"Marine sediment"	""	"36.674869"	"24.520916"	121466297	335248	""	NA	"Use"	"Hydrothermal vent"
"X3300022723"	3300022723	"*Microbiome"	"Permanent Draft"	"Solar saltern microbial communities from the Namib Desert"	"Sediment microbial communities from solar saltern in the Namib Desert, Swakopmund, Namibia - Eisfeld source 2017"	"Genewiz Inc."	3300022723	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Microbial mats"	"Solar saltern microbial communities from the Namib Desert"	"Metagenome Analysis"	"2018-01-26"	"SPAdes v. 3.6.0"	"released by JGI data releasing policy"	"Yes"	"Yes"	"2021-03-03"	NA	"don.cowan@up.ac.za"	"Don Cowan"	"No"	"Illumina HiSeq X Ten"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Microbial mats"	NA	""	""	"Eisfeld solar saltern, Swakopmund, Erongo region, Namibia"	"Microbial mat and sediment"	"Namibia"	"-22.4834167"	"14.57258333"	568535041	851417	""	NA	"Use"	"Hypersaline"
"X3300028382"	3300028382	"*Microbiome"	"Permanent Draft"	"Bras del Port September 2017"	"Non-marine hypersaline water viral communities from Bras del Port saltern ponds, Alicante, Spain - CR30_September 2016"	"University of Alicante"	3300028382	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Unclassified"	"Bras del Port September 2017"	"Metagenome Analysis"	"2018-06-08"	"IDBA v. 1.1.1"	"released by JGI data releasing policy"	"No"	"Yes"	"2022-03-04"	NA	"ramosloles@gmail.com"	"Mar?a Dolores Ramos Barbero"	"No"	"Illumina NextSeq"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Unclassified"	NA	""	""	"Bras de Port, Alicante, Spain"	"Hypersaline water"	""	"38.1904"	"-0.5948"	14588756	46116	""	NA	"Use"	"Hypersaline"
"X3300005278"	3300005278	"*Microbiome"	"Permanent Draft"	"Hot Spring microbial communities from Great Boiling Spring, Nevada"	"Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C v3"	"DOE Joint Genome Institute (JGI)"	3300005278	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Sediment"	"Hot Spring microbial communities from Great Boiling Spring, Nevada"	"Metagenome Analysis"	"2015-06-03"	"MeGAMerge version 0.9b"	"released based on JGI ITS"	"Yes"	"Yes"	"2022-03-25"	NA	"brian.hedlund@unlv.edu"	"Brian P. Hedlund, Brian Hedlund"	"Yes"	"454 GS FLX Titanium, Illumina HiSeq 2000"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Sediment"	NA	""	"1700"	"Great Boiling Spring, Nevada"	"Hot Spring"	"USA"	"40.71458"	"-119.369659"	138921631	254148	"Unrestricted"	NA	"Use"	"Hot spring"
"X2077657023"	2077657023	"*Microbiome"	"Permanent Draft"	"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA"	"Hot spring microbial communities from One Hundred Springs Plain, Yellowstone National Park, Wyoming, USA - sample OSP_B"	"DOE Joint Genome Institute (JGI)"	2077657023	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Unclassified"	"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA"	"Metagenome Analysis"	"2010-10-27"	"Newbler v. 2.5"	"released based on JGI ITS"	"No"	"Yes"	"2022-01-22"	NA	"binskeep@montana.edu"	"William Inskeep, William P. Inskeep"	"Yes"	""	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Unclassified"	NA	""	"2300"	"One Hundred Springs Plain, Yellowstone National Park"	"Hot spring"	"USA"	"44.7315"	"-110.711389"	35803982	81130	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300022347"	3300022347	"*Microbiome"	"Permanent Draft"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Microbial mat bacterial and archaeal communities from Herschel Lake, Rottnest Island (WA - Australia) - HL3WBGP3 JM42"	"AGRF"	3300022347	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Microbial mats"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Metagenome Analysis"	"2017-12-14"	"Unkown"	"released by JGI data releasing policy"	"Yes"	"Yes"	"2021-03-03"	NA	"deirdre.gleeson@uwa.edu.au"	"Deirdre Gleeson"	"No"	"Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Microbial mats"	NA	""	""	"Australia: Herschel Lake, Rottnest Island, Western Australia"	"Microbial mat"	"Australia"	"-31.996531"	"115.533257"	35493036	68526	""	NA	"Use"	"Hypersaline"
"X3300002539"	3300002539	"*Microbiome"	"Permanent Draft"	"Hot spring microbial communities from Yellowstone National Park"	"Hot spring thermophilic microbial communities from Obsidian Pool, Yellowstone National Park, USA - site 3 bottle 8"	"DOE Joint Genome Institute (JGI)"	3300002539	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Unclassified"	"Hot spring microbial communities from Yellowstone National Park"	"Metagenome Analysis"	"2014-04-21"	""	""	"Yes"	"Yes"	"2014-10-18"	NA	"blumerschuette@oakland.edu, blumerschuette@oakland.edu; rmkelly@ncsu.edu"	"Sara Blumer-Schuette, Sara Blumer-Schuette; Robert Kelly"	"No"	"Illumina HiSeq 2000, Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Unclassified"	NA	""	"2400"	"Yellowstone National Park, Wyoming, USA"	"Hot spring"	"USA"	"44.6102"	"-110.4387"	14752731	21318	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300022344"	3300022344	"*Microbiome"	"Permanent Draft"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Microbial mat bacterial and archaeal communities from Serpentine Lake, Rottnest Island (WA - Australia) - SL1BM3 JM24"	"AGRF"	3300022344	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Microbial mats"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Metagenome Analysis"	"2017-12-14"	"Unkown"	"released by JGI data releasing policy"	"Yes"	"Yes"	"2021-03-03"	NA	"deirdre.gleeson@uwa.edu.au"	"Deirdre Gleeson"	"No"	"Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Microbial mats"	NA	""	""	"Australia: Serpentine Lake, Rottnest Island, Western Australia"	"Microbial mat"	"Australia"	"-32.002717"	"115.525989"	37541183	64160	""	NA	"Use"	"Hypersaline"
