sampleID	taxon_oid	Domain	Sequencing.Status	Study.Name	Genome.Name...Sample.Name	Sequencing.Center	IMG.Genome.ID	Phylum	Class	Order	Family	Genus	Species	IMG.Release.Pipeline.Version	IMG.Submission.ID	GOLD.Analysis.Project.ID	GOLD.Analysis.Project.Type	GOLD.Sequencing.Project.ID	GOLD.Study.ID	Add.Date	Day	Month	Year	Assembly.Method	Comments	Has.Coverage	Is.Public	Release.Date	User.Access	Contact.Email	Contact.Name	Is.Published	NCBI.Assembly.Accession	NCBI.Bioproject.Accession	NCBI.Biosample.Accession	NCBI.GenBank.ID	Sequencing.Method	Ecosystem	Ecosystem.Category	Ecosystem.Subtype	Ecosystem.Type	Specific.Ecosystem	Altitude.In.Meters	Depth.In.Meters	Elevation.In.Meters	Geographic.Location	Habitat	Isolation.Country	Latitude	Longitude	pH	Salinity	Genome.Size.....assembled	Gene.Count.....assembled	JGI.Data.Utilization.Status	sampleID	GenomeSize	Study.Name2	Location2	Environment	count	Fungi	Euks	fung_count	present	KaijuOrder
VSG	3300038330	*Microbiome	Permanent Draft	"Acid mine drainage microbial communities from coal mines in Pennsylvania and Ohio, United States"	"Garden soil microbial communities from Akron, Ohio, USA - VSG_soil"	DOE Joint Genome Institute (JGI)	3300038330	Environmental	Terrestrial	Soil	Garden	Unclassified	"Acid mine drainage microbial communities from coal mines in Pennsylvania and Ohio, United States"	IMG Annotation Pipeline v.5.0.14	230080	Ga0437625	Metagenome Analysis	Gp0480589	Gs0145645	3/23/20	3	23	20	metaspades v. 3.13.0		Yes	Yes	5/22/20	NA	shagun2260@gmail.com	Shagun sharma	No	NA	PRJNA650768	SAMN15720966		Illumina NovaSeq S4	Environmental	Terrestrial	Garden	Soil	Unclassified	225		225	"USA: Akron, Ohio"	garden soil	USA	41.110469	-81.563467		NA	1094769959	3020381	Unrestricted	X3300038330	1094769959	"Acid mine drainage microbial communities from coal mines in Pennsylvania and Ohio, United States"	"USA: Akron, Ohio"	Acid mine drainage	2002575	0.000843913	0.001930015	1690	1	3
OV2TP2	3300009691	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"Hot spring microbial communities from Beatty, Nevada to study Microbial Dark Matter (Phase II) - OV2 TP2"	DOE Joint Genome Institute (JGI)	3300009691	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Unclassified	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	IMG Annotation Pipeline v.4.11.3	89582	Ga0114944	Metagenome Analysis	Gp0134303	Gs0111485	6/20/16	6	20	16	MEGAHIT v. 1.0.3		Yes	Yes	8/20/16	NA	rstepanauskas@bigelow.org; duane.moser@dri.edu	Ramunas Stepanauskas; Duane Moser	No	NA	PRJNA367388	SAMN06267239		Illumina HiSeq 2500-1TB	Environmental	Aquatic	Hot (42-90C)	Thermal springs	Unclassified	NA	10	NA	"USA: Beatty, Nevada"	Thermal springs	USA	36.96	-116.72		NA	687720844	1438293	Unrestricted	X3300009691	687720844	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"USA: Beatty, Nevada"	Hot spring	628726	0.00064575	0.005724274	406	1	16
BON02	3300007520	*Microbiome	Permanent Draft	Freshwater microbial communities from lake liftoff mats and glacier meltwater in Antarctica	Freshwater microbial communities from Lake Bonney liftoff mats and glacier meltwater in Antarctica - BON-02 (megahit assembly)	DOE Joint Genome Institute (JGI)	3300007520	Environmental	Aquatic	Freshwater	Ice	Glacier meltwater	Freshwater microbial communities from lake liftoff mats and glacier meltwater in Antarctica	IMG Annotation Pipeline v.4.10.2	78091	Ga0105054	Metagenome Analysis	Gp0127803	Gs0118069	4/25/16	4	25	16	MEGAHIT v.1.0.3		Yes	Yes	4/15/16	NA	slonczewski@kenyon.edu	Joan Slonczewski	No	NA	PRJNA367372	SAMN06267046		Illumina HiSeq 2500-1TB	Environmental	Aquatic	Ice	Freshwater	Glacier meltwater	NA	83	NA	Lake Bonney	Freshwater	Antarctica	-77.714	162.445		NA	2174974799	3504326	Unrestricted	X3300007520	2174974799	Freshwater microbial communities from lake liftoff mats and glacier meltwater in Antarctica	Lake Bonney	Cryosphere - water	973960	0.005591605	0.152172574	5446	1	1
frozenSSSS	3300009695	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"Glacier valley bacterial and archeal communities from Borup Fiord, Nunavut, Canada, to study Microbial Dark Matter (Phase II) - frozenSSSS metaG"	DOE Joint Genome Institute (JGI)	3300009695	Environmental	Aquatic	Freshwater	Ice	Glacier	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	IMG Annotation Pipeline v.4.11.3	89792	Ga0123337	Metagenome Analysis	Gp0141791	Gs0111485	6/21/16	6	21	16	MEGAHIT v. 1.0.6		Yes	Yes	8/20/16	NA	rstepanauskas@bigelow.org; pfdunfie@ucalgary.ca	Ramunas Stepanauskas; Peter Dunfield	No	NA	PRJNA364850	SAMN06266017		Illumina HiSeq 2500-1TB	Environmental	Aquatic	Ice	Freshwater	Glacier	NA	0	0	"Borup Fiord, Nunavut, Canada"	Glacier valley	Canada	81.017	-81.583		NA	1191213831	2093514	Unrestricted	X3300009695	1191213831	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"Borup Fiord, Nunavut, Canada"	Cryosphere - soil	1289070	0.009981615	0.015785799	12867	1	5
Mar14436cm	3300010332	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"Marine hydrothermal vent microbial communities from Guaymas Basin, Gulf of California to study Microbial Dark Matter (Phase II) - Marker 14 Mat core 4571-4 3-6 cm metaG"	DOE Joint Genome Institute (JGI)	3300010332	Environmental	Aquatic	Marine	Hydrothermal vents	Sediment	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	IMG Annotation Pipeline v.4.11.4	94478	Ga0116200	Metagenome Analysis	Gp0138779	Gs0111485	9/3/16	9	3	16	MEGAHIT v. 1.0.6		Yes	Yes	11/3/16	NA	rstepanauskas@bigelow.org; teske@email.unc.edu	Ramunas Stepanauskas; Andreas Teske	No	NA	PRJNA365032	SAMN06264874		Illumina HiSeq 2500-1TB	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	NA	2000	NA	"Mexico: Guaymas Basin, Gulf of California"	Marine hydrothermal vent	Mexico	27.0078	-111.4071		NA	1080322849	2490314	Unrestricted	X3300010332	1080322849	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"Mexico: Guaymas Basin, Gulf of California"	Hydrothermal vent	1048872	0.000366108	0.002378746	384	1	8
grotaG	3300009686	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"Glacier valley bacterial and archeal communities from Borup Fiord, Nunavut, Canada, to study Microbial Dark Matter (Phase II) - groundupSSSS metaG"	DOE Joint Genome Institute (JGI)	3300009686	Environmental	Aquatic	Freshwater	Ice	Glacier	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	IMG Annotation Pipeline v.4.11.3	89793	Ga0123338	Metagenome Analysis	Gp0141792	Gs0111485	6/20/16	6	20	16	MEGAHIT v. 1.0.6		Yes	Yes	8/19/16	NA	rstepanauskas@bigelow.org; pfdunfie@ucalgary.ca	Ramunas Stepanauskas; Peter Dunfield	No	NA	PRJNA364851	SAMN06265140		Illumina HiSeq 2500-1TB	Environmental	Aquatic	Ice	Freshwater	Glacier	NA	0	0	"Borup Fiord, Nunavut, Canada"	Glacier valley	Canada	81.017	-81.583		NA	977971402	1818470	Unrestricted	X3300009686	977971402	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"Borup Fiord, Nunavut, Canada"	Cryosphere - soil	1127035	0.004806417	0.007334289	5417	1	9
SSSS	3300010331	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"Glacier valley bacterial and archeal communities from Borup Fiord, Nunavut, Canada, to study Microbial Dark Matter (Phase II) - ?SSSS metaG"	DOE Joint Genome Institute (JGI)	3300010331	Environmental	Aquatic	Freshwater	Ice	Glacier	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	IMG Annotation Pipeline v.4.11.4	96466	Ga0123336	Metagenome Analysis	Gp0141790	Gs0111485	9/3/16	9	3	16	MEGAHIT v. 1.0.6		Yes	Yes	11/3/16	NA	rstepanauskas@bigelow.org; pfdunfie@ucalgary.ca	Ramunas Stepanauskas; Peter Dunfield	No	NA	PRJNA364849	SAMN06264836		Illumina HiSeq 2500-1TB	Environmental	Aquatic	Ice	Freshwater	Glacier	NA	0	0	"Borup Fiord, Nunavut, Canada"	Glacier valley	Canada	81.017	-81.583		NA	1203901989	2282475	Unrestricted	X3300010331	1203901989	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"Borup Fiord, Nunavut, Canada"	Cryosphere - soil	1268509	0.006042527	0.01157816	7665	1	13
OV2TP1	3300009626	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"Hot spring microbial communities from Beatty, Nevada to study Microbial Dark Matter (Phase II) - OV2 TP1"	DOE Joint Genome Institute (JGI)	3300009626	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Unclassified	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	IMG Annotation Pipeline v.4.11.3	89581	Ga0114943	Metagenome Analysis	Gp0134302	Gs0111485	6/17/16	6	17	16	MEGAHIT v. 1.0.3		Yes	Yes	8/16/16	NA	rstepanauskas@bigelow.org; duane.moser@dri.edu	Ramunas Stepanauskas; Duane Moser	No	NA	PRJNA367387	SAMN06267238		Illumina HiSeq 2500-1TB	Environmental	Aquatic	Hot (42-90C)	Thermal springs	Unclassified	NA	10	NA	"USA: Beatty, Nevada"	Thermal springs	USA	36.96	-116.72		NA	52872775	127422	Unrestricted	X3300009626	52872775	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"USA: Beatty, Nevada"	Hot spring	67912	0.000736247	0.005772176	50	1	15
OV2TP3	3300009444	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"Hot spring microbial communities from Beatty, Nevada to study Microbial Dark Matter (Phase II) - OV2 TP3"	DOE Joint Genome Institute (JGI)	3300009444	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Unclassified	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	IMG Annotation Pipeline v.4.11.0	87194	Ga0114945	Metagenome Analysis	Gp0134304	Gs0111485	6/9/16	6	9	16	MEGAHIT v. 1.0.3		Yes	Yes	8/8/16	NA	"rstepanauskas@bigelow.org, rstepanauskas@bigelow.org; duane.moser@dri.edu"	"Ramunas Stepanauskas, Ramunas Stepanauskas; Duane Moser"	No	NA	PRJNA367389	SAMN06267240		Illumina HiSeq 2500-1TB	Environmental	Aquatic	Hot (42-90C)	Thermal springs	Unclassified	NA	10	NA	"USA: Beatty, Nevada"	Thermal springs	USA	36.96	-116.72		NA	1399036475	2788045	Unrestricted	X3300009444	1399036475	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"USA: Beatty, Nevada"	Hot spring	1406362	0.000415967	0.002937366	585	1	14
Mar14336cm	3300010264	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"Marine hydrothermal vent microbial communities from Guaymas Basin, Gulf of California to study Microbial Dark Matter (Phase II) - Marker 14 Mat core 4571-4 33-36 cm metaG"	DOE Joint Genome Institute (JGI)	3300010264	Environmental	Aquatic	Marine	Hydrothermal vents	Sediment	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	IMG Annotation Pipeline v.4.11.4	94486	Ga0116201	Metagenome Analysis	Gp0138780	Gs0111485	8/29/16	8	29	16	MEGAHIT v. 1.0.6		Yes	Yes	10/28/16	NA	rstepanauskas@bigelow.org; teske@email.unc.edu	Ramunas Stepanauskas; Andreas Teske	No	NA	PRJNA365033	SAMN06266163		Illumina HiSeq 2500-1TB	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	NA	2000	NA	"Mexico: Guaymas Basin, Gulf of California"	Marine hydrothermal vent	Mexico	27.0078	-111.4071		NA	13337508	30532	Unrestricted	X3300010264	13337508	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	"Mexico: Guaymas Basin, Gulf of California"	Hydrothermal vent	13482	0.000370865	0.001928497	5	1	12
