"V1","KO","n","Definition"
"KO:K03164","K03164",1193,"TOP2; DNA topoisomerase II [EC:5.6.2.2]"
"KO:K10955","K10955",1176,"MUC2; mucin-2"
"KO:K00777","K00777",809,"QTRT1; queuine tRNA-ribosyltransferase catalytic subunit [EC:2.4.2.64]"
"KO:K06867","K06867",789,"K06867; uncharacterized protein"
"KO:K03006","K03006",730,"RPB1, POLR2A; DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]"
"KO:K03010","K03010",677,"RPB2, POLR2B; DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]"
"KO:K05658","K05658",663,"ABCB1, CD243; ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:7.6.2.2]"
"KO:K00698","K00698",651,"CHS1; chitin synthase [EC:2.4.1.16]"
"KO:K15503","K15503",638,"ANKRD44; serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B"
"KO:K12811","K12811",598,"DDX46, PRP5; ATP-dependent RNA helicase DDX46/PRP5 [EC:3.6.4.13]"
"KO:K10408","K10408",587,"DNAH; dynein axonemal heavy chain"
"KO:K05349","K05349",577,"bglX; beta-glucosidase [EC:3.2.1.21]"
"KO:K01870","K01870",574,"IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]"
"KO:K00412","K00412",524,"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"
"KO:K01530","K01530",509,"E7.6.2.1; phospholipid-translocating ATPase [EC:7.6.2.1]"
"KO:K15255","K15255",502,"PIF1; ATP-dependent DNA helicase PIF1 [EC:5.6.2.3]"
"KO:K02256","K02256",497,"COX1; cytochrome c oxidase subunit 1 [EC:7.1.1.9]"
"KO:K08286","K08286",495,"E2.7.11.-; protein-serine/threonine kinase [EC:2.7.11.-]"
"KO:K01872","K01872",489,"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]"
"KO:K12822","K12822",475,"RBM25, S164; RNA-binding protein 25"
"KO:K14572","K14572",469,"MDN1, REA1; midasin"
"KO:K15371","K15371",469,"GDH2; glutamate dehydrogenase [EC:1.4.1.2]"
"KO:K01537","K01537",463,"ATP2C; P-type Ca2+ transporter type 2C [EC:7.2.2.10]"
"KO:K06758","K06758",463,"CHL1; L1 cell adhesion molecule like protein"
"KO:K01183","K01183",452,"E3.2.1.14; chitinase [EC:3.2.1.14]"
"KO:K16261","K16261",451,"YAT; yeast amino acid transporter"
"KO:K02327","K02327",449,"POLD1; DNA polymerase delta subunit 1 [EC:2.7.7.7]"
"KO:K01689","K01689",436,"ENO, eno; enolase [EC:4.2.1.11]"
"KO:K11541","K11541",434,"URA2; carbamoyl-phosphate synthase / aspartate carbamoyltransferase [EC:6.3.5.5 2.1.3.2]"
"KO:K01705","K01705",429,"LYS4; homoaconitate hydratase [EC:4.2.1.36]"
"KO:K10807","K10807",418,"RRM1; ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1]"
"KO:K10413","K10413",400,"DYNC1H; dynein cytoplasmic 1 heavy chain"
"KO:K00463","K00463",396,"IDO, INDO; indoleamine 2,3-dioxygenase [EC:1.13.11.52]"
"KO:K03646","K03646",394,"tolA; colicin import membrane protein"
"KO:K01866","K01866",385,"YARS, tyrS; tyrosyl-tRNA synthetase [EC:6.1.1.1]"
"KO:K01426","K01426",382,"E3.5.1.4, amiE; amidase [EC:3.5.1.4]"
"KO:K00925","K00925",380,"ackA; acetate kinase [EC:2.7.2.1]"
"KO:K07126","K07126",377,"K07126; uncharacterized protein"
"KO:K00288","K00288",374,"MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]"
"KO:K00264","K00264",364,"GLT1; glutamate synthase (NADH) [EC:1.4.1.14]"
"KO:K00540","K00540",362,"fqr; F420H(2)-dependent quinone reductase [EC:1.1.98.-]"
"KO:K01520","K01520",351,"dut, DUT; dUTP pyrophosphatase [EC:3.6.1.23]"
"KO:K11135","K11135",349,"PINX1; Pin2-interacting protein X1"
"KO:K18441","K18441",349,"CYTH; cytohesin"
"KO:K08874","K08874",341,"TRRAP; transformation/transcription domain-associated protein"
"KO:K01279","K01279",337,"TPP1, CLN2; tripeptidyl-peptidase I [EC:3.4.14.9]"
"KO:K00058","K00058",332,"serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]"
"KO:K00480","K00480",332,"E1.14.13.1; salicylate hydroxylase [EC:1.14.13.1]"
"KO:K05692","K05692",328,"ACTB_G1; actin beta/gamma 1"
"KO:K03881","K03881",322,"ND4; NADH-ubiquinone oxidoreductase chain 4 [EC:7.1.1.2]"
"KO:K00517","K00517",321,"CYP81F; indol-3-yl-methylglucosinolate hydroxylase [EC:1.14.-.-]"
"KO:K03883","K03883",320,"ND5; NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2]"
"KO:K03660","K03660",319,"OGG1; N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]"
"KO:K10352","K10352",318,"MYH9s; myosin heavy chain 9/10/11/14"
"KO:K00100","K00100",313,"bdhAB; butanol dehydrogenase [EC:1.1.1.-]"
"KO:K07497","K07497",311,"K07497; putative transposase"
"KO:K01885","K01885",301,"EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]"
"KO:K03254","K03254",298,"EIF3A; translation initiation factor 3 subunit A"
"KO:K07203","K07203",296,"MTOR, FRAP, TOR; serine/threonine-protein kinase mTOR [EC:2.7.11.1]"
"KO:K10747","K10747",293,"LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]"
"KO:K00693","K00693",288,"GYS; glycogen synthase [EC:2.4.1.11]"
"KO:K08900","K08900",285,"BCS1; mitochondrial chaperone BCS1"
"KO:K00728","K00728",281,"POMT, pmt; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]"
"KO:K00600","K00600",279,"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
"KO:K00549","K00549",276,"metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]"
"KO:K11366","K11366",276,"USP22_27_51, UBP8; ubiquitin carboxyl-terminal hydrolase 22/27/51 [EC:3.4.19.12]"
"KO:K02519","K02519",274,"infB, MTIF2; translation initiation factor IF-2"
"KO:K07300","K07300",273,"chaA, CAX; Ca2+:H+ antiporter"
"KO:K12856","K12856",273,"PRPF8, PRP8; pre-mRNA-processing factor 8"
"KO:K03260","K03260",272,"EIF4G; translation initiation factor 4G"
"KO:K00668","K00668",270,"FAS1; fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]"
"KO:K01469","K01469",270,"OPLAH, OXP1, oplAH; 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]"
"KO:K01768","K01768",268,"E4.6.1.1; adenylate cyclase [EC:4.6.1.1]"
"KO:K13100","K13100",266,"CWC22; pre-mRNA-splicing factor CWC22"
"KO:K01755","K01755",265,"argH, ASL; argininosuccinate lyase [EC:4.3.2.1]"
"KO:K12618","K12618",263,"XRN1, SEP1, KEM1; 5'-3' exoribonuclease 1 [EC:3.1.13.-]"
"KO:K01648","K01648",262,"ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]"
"KO:K00924","K00924",260,"E2.7.1.-; kinase [EC:2.7.1.-]"
"KO:K00059","K00059",258,"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
"KO:K03549","K03549",257,"kup; KUP system potassium uptake protein"
"KO:K10592","K10592",255,"HUWE1, MULE, ARF-BP1; E3 ubiquitin-protein ligase HUWE1 [EC:2.3.2.26]"
"KO:K12854","K12854",255,"SNRNP200, BRR2; pre-mRNA-splicing helicase BRR2 [EC:3.6.4.13]"
"KO:K13721","K13721",255,"APE2; aminopeptidase 2 [EC:3.4.11.-]"
"KO:K03695","K03695",254,"clpB; ATP-dependent Clp protease ATP-binding subunit ClpB"
"KO:K12599","K12599",253,"SKI2, SKIV2L; antiviral helicase SKI2 [EC:3.6.4.13]"
"KO:K01230","K01230",252,"MAN1A_C, MNS1_2; mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]"
"KO:K08884","K08884",251,"K08884; serine/threonine protein kinase, bacterial [EC:2.7.11.1]"
"KO:K14564","K14564",247,"NOP56; nucleolar protein 56"
"KO:K01955","K01955",246,"carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]"
"KO:K01210","K01210",243,"E3.2.1.58; glucan 1,3-beta-glucosidase [EC:3.2.1.58]"
"KO:K01897","K01897",242,"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"
"KO:K02324","K02324",242,"POLE; DNA polymerase epsilon subunit 1 [EC:2.7.7.7]"
"KO:K08141","K08141",242,"MAL; MFS transporter, SP family, general alpha glucoside:H+ symporter"
"KO:K03235","K03235",241,"EF3, TEF3; elongation factor 3"
"KO:K00527","K00527",240,"rtpR; ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]"
"KO:K06067","K06067",240,"HDAC1_2; histone deacetylase 1/2 [EC:3.5.1.98]"
"KO:K07407","K07407",238,"E3.2.1.22B, galA, rafA; alpha-galactosidase [EC:3.2.1.22]"
"KO:K11788","K11788",237,"ADE5; phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 6.3.3.1]"
"KO:K01874","K01874",236,"MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]"
"KO:K19525","K19525",232,"VPS13A_C; vacuolar protein sorting-associated protein 13A/C"
"KO:K00281","K00281",231,"GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]"
"KO:K01539","K01539",229,"ATP1A; sodium/potassium-transporting ATPase subunit alpha [EC:7.2.2.13]"
"KO:K13091","K13091",228,"RBM23_39; RNA-binding protein 23/39"
"KO:K01687","K01687",227,"ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]"
"KO:K05012","K05012",227,"CLCN3_4_5; chloride channel 3/4/5"
"KO:K01187","K01187",226,"malZ; alpha-glucosidase [EC:3.2.1.20]"
"KO:K00667","K00667",225,"FAS2; fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]"
"KO:K01115","K01115",225,"PLD1_2; phospholipase D1/2 [EC:3.1.4.4]"
"KO:K07375","K07375",225,"TUBB; tubulin beta"
"KO:K00799","K00799",224,"GST, gst; glutathione S-transferase [EC:2.5.1.18]"
"KO:K11786","K11786",224,"STH1_SNF2; ATP-dependent helicase STH1/SNF2 [EC:5.6.2.-]"
"KO:K03243","K03243",223,"EIF5B; translation initiation factor 5B"
"KO:K11294","K11294",223,"NCL, NSR1; nucleolin"
"KO:K11131","K11131",222,"DKC1, NOLA4, CBF5; H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-]"
"KO:K13525","K13525",222,"VCP, CDC48; transitional endoplasmic reticulum ATPase"
"KO:K01408","K01408",221,"IDE, ide; insulysin [EC:3.4.24.56]"
"KO:K01613","K01613",221,"psd, PISD; phosphatidylserine decarboxylase [EC:4.1.1.65]"
"KO:K00681","K00681",218,"ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]"
"KO:K01082","K01082",218,"cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]"
"KO:K10380","K10380",218,"ANK; ankyrin"
"KO:K01694","K01694",217,"TRP; tryptophan synthase [EC:4.2.1.20]"
"KO:K01739","K01739",217,"metB; cystathionine gamma-synthase [EC:2.5.1.48]"
"KO:K14565","K14565",217,"NOP58; nucleolar protein 58"
"KO:K01915","K01915",216,"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"
"KO:K00128","K00128",214,"ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]"
"KO:K01738","K01738",213,"cysK; cysteine synthase [EC:2.5.1.47]"
"KO:K03018","K03018",213,"RPC1, POLR3A; DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]"
"KO:K00033","K00033",210,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
"KO:K01288","K01288",210,"KEX1; carboxypeptidase D [EC:3.4.16.6]"
"KO:K00249","K00249",209,"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]"
"KO:K00571","K00571",209,"E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]"
"KO:K03257","K03257",209,"EIF4A; translation initiation factor 4A"
"KO:K08869","K08869",209,"ADCK, ABC1; aarF domain-containing kinase"
"KO:K12818","K12818",209,"DHX8, PRP22; ATP-dependent RNA helicase DHX8/PRP22 [EC:3.6.4.13]"
"KO:K01679","K01679",208,"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]"
"KO:K03879","K03879",208,"ND2; NADH-ubiquinone oxidoreductase chain 2 [EC:7.1.1.2]"
"KO:K06215","K06215",207,"pdxS, pdx1; pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]"
"KO:K01681","K01681",204,"ACO, acnA; aconitate hydratase [EC:4.2.1.3]"
"KO:K01873","K01873",203,"VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]"
"KO:K09291","K09291",201,"TPR, MLP1, MLP2; nucleoprotein TPR"
"KO:K02262","K02262",199,"COX3; cytochrome c oxidase subunit 3"
"KO:K08282","K08282",198,"E2.7.11.1; non-specific serine/threonine protein kinase [EC:2.7.11.1]"
"KO:K12619","K12619",198,"XRN2, RAT1; 5'-3' exoribonuclease 2 [EC:3.1.13.-]"
"KO:K01756","K01756",197,"purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]"
"KO:K02261","K02261",197,"COX2; cytochrome c oxidase subunit 2"
"KO:K15745","K15745",197,"AL1; phytoene desaturase (3,4-didehydrolycopene-forming) [EC:1.3.99.30]"
"KO:K01869","K01869",196,"LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]"
"KO:K12604","K12604",195,"CNOT1, NOT1; CCR4-NOT transcription complex subunit 1"
"KO:K00602","K00602",193,"purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]"
"KO:K01652","K01652",193,"E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
"KO:K01610","K01610",192,"E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"
"KO:K06174","K06174",192,"ABCE1, Rli1; ATP-binding cassette, sub-family E, member 1"
"KO:K11262","K11262",192,"ACACA; acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15]"
"KO:K12196","K12196",192,"VPS4; vacuolar protein-sorting-associated protein 4"
"KO:K10908","K10908",190,"POLRMT, RPO41; DNA-directed RNA polymerase, mitochondrial [EC:2.7.7.6]"
