"taxon_oid","ID1","ID2","KO","Phylum","Class","Order","Family","Genus","Species"
"3300027987","Ga0259480_107469451","Ga0259480_10746945","K09828","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028031","Ga0256847_16148291","Ga0256847_1614829","K00452","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028031","Ga0256847_14299261","Ga0256847_1429926","K00799","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028031","Ga0256847_18594131","Ga0256847_1859413","K00799","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028031","Ga0256847_15234111","Ga0256847_1523411","K00854","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028031","Ga0256847_15686231","Ga0256847_1568623","K01082","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028031","Ga0256847_14427141","Ga0256847_1442714","K01392","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028031","Ga0256847_13041201","Ga0256847_1304120","K01648","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028031","Ga0256847_18826151","Ga0256847_1882615","K03006","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028031","Ga0256847_13895241","Ga0256847_1389524","K07126","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028031","Ga0256847_16547121","Ga0256847_1654712","K07126","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028031","Ga0256847_18475791","Ga0256847_1847579","K14157","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028212","Ga0302090_1053031","Ga0302090_105303","K12471","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028218","Ga0302078_1153111","Ga0302078_115311","K07203","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028399","Ga0256830_13190441","Ga0256830_1319044","K01705","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028400","Ga0256832_17765671","Ga0256832_1776567","K01488","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
"3300028422","Ga0304770_132781991","Ga0304770_13278199","K00088","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","Rhizoclosmatium_globosum"
