taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	IMG Submission ID	GOLD Analysis Project ID	GOLD Analysis Project Type	GOLD Sequencing Project ID	Is Public	Genome Size   * assembled	Gene Count   * assembled	JGI Data Utilization Status	
taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	IMG Submission ID	GOLD Analysis Project ID	GOLD Analysis Project Type	GOLD Sequencing Project ID	Is Public	Genome Size   * assembled	Gene Count   * assembled	JGI Data Utilization Status	
2955020369	Eukaryota	Permanent Draft	Entamoeba histolytica HM-3:IMSS Genome sequencing	Entamoeba histolytica HM-3:IMSS	J. Craig Venter Institute	2955020369	Evosea	unclassified	Mastigamoebida	Entamoebidae	Entamoeba	Entamoeba histolytica	261330	Ga0040262	Genome Analysis (Isolate)	Gp0038929	No	13830719	7211		
2942554302	Eukaryota	Permanent Draft	Comparative Genomics of Phytophthora parasitica	Phytophthora parasitica CJ01A1	Broad Institute	2942554302	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora nicotianae	261323	Ga0040144	Genome Analysis (Isolate)	Gp0037781	No	54289861	28193		
2942682802	Eukaryota	Permanent Draft	Fonticula alba Genome Project	Fonticula alba	Broad Institute	2942682802	unclassified	unclassified	Rotosphaerida	Fonticulaceae	Fonticula	Fonticula alba	261337	Ga0040323	Genome Analysis (Isolate)	Gp0038031	No	31296464	6873		
2941399919	Eukaryota	Permanent Draft	Aschersonia aleyrodis RCEF 2490 Genome sequencing	Moelleriella libera RCEF 2490	Chinese Academy of Sciences, SIBS	2941399919	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Moelleriella	Moelleriella libera	260958	Ga0129586	Genome Analysis (Isolate)	Gp0039338	No	30871875	8461		
2954988299	Eukaryota	Permanent Draft	Nannochloropsis gaditana CCMP526	Nannochloropsis gaditana CCMP 526	Eureka genomics	2954988299	unclassified	Eustigmatophyceae	Eustigmatales	Monodopsidaceae	Nannochloropsis	Nannochloropsis gaditana	261310	Ga0039985	Genome Analysis (Isolate)	Gp0019168	No	33986952	3557		
2942913090	Eukaryota	Permanent Draft	Genome sequencing of Phytophthora kernoviae - Univ of Exeter	Phytophthora kernoviae NZFS 3630	University of Exeter	2942913090	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora kernoviae	261355	Ga0103068	Genome Analysis (Isolate)	Gp0103423	No	36712010	9884		
2940579085	Eukaryota	Permanent Draft	Verticillium dahliae VdLs.17	Verticillium dahliae VdLs.17	Broad Institute	2940579085	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium dahliae	260851	Ga0039260	Genome Analysis (Isolate)	Gp0003474	No	33900324	10813		
2940770010	Eukaryota	Permanent Draft	Ceratocystis platani strain:CFO Genome sequencing	Ceratocystis platani CFO	University of Neuchatel	2940770010	Ascomycota	Sordariomycetes	Microascales	Ceratocystidaceae	Ceratocystis	Ceratocystis platani	260875	Ga0103066	Genome Analysis (Isolate)	Gp0117548	No	29181415	5963		
2944293167	Eukaryota	Finished	A genomic resource for the Plasmodium vinckei clade of rodent malaria parasites	Plasmodium vinckei lentum PVLDE	King Abdullah University of Science and Technology (KAUST)	2944293167	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium vinckei	261515	Ga0523584	Genome Analysis (Isolate)	Gp0606353	No	19341547	5380		
2940831943	Eukaryota	Permanent Draft	Aspergillus fumigatus var. RP-2014 Genome sequencing	Aspergillus fumigatus var. RP-2014	Oklahoma State University	2940831943	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fumigatus	260882	Ga0103122	Genome Analysis (Isolate)	Gp0092926	No	27355096	8825		
2941092535	Eukaryota	Permanent Draft	Moniliophthora roreri MCA 2997 Genome sequencing	Moniliophthora roreri MCA 2997	Pennsylvania State University, U.S. Department of Agriculture, Agricultural Research Service 	2941092535	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri	260920	Ga0129417	Genome Analysis (Isolate)	Gp0049167	No	52204869	17910		
2941016518	Eukaryota	Permanent Draft	Glarea lozoyensis ATCC 20868 Genome sequencing	Glarea lozoyensis ATCC 20868	Chinese Academy of Science, Institute of Microbiology	2941016518	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	Glarea lozoyensis	260911	Ga0129200	Genome Analysis (Isolate)	Gp0038704	No	39509734	13083		
2943988779	Eukaryota	Draft	Genome sequencing and annotation for Aphanomyces spp. Genome sequencing and assembly	Aphanomyces astaci Sv	University of Exeter	2943988779	Oomycota	unclassified	Saprolegniales	Saprolegniaceae	Aphanomyces	Aphanomyces astaci	261496	Ga0487921	Genome Analysis (Isolate)	Gp0546916	No	51850380	14100		
2941320446	Eukaryota	Permanent Draft	Candida albicans 12C Genome sequencing	Candida albicans 12C	Broad Institute	2941320446	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida albicans	260948	Ga0129515	Genome Analysis (Isolate)	Gp0037443	No	14897039	6403		
2955247257	Eukaryota	Draft	Whole genome sequencing of Cryptosporidium andersoni	Cryptosporidium andersoni 30847	Centers for Disease Control and Prevention	2955247257	Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	Cryptosporidium andersoni	261422	Ga0197174	Genome Analysis (Isolate)	Gp0219934	No	9088557	3872		
2955035786	Eukaryota	Finished	Leishmania donovani BPK282A1	Leishmania donovani BPK282A1	Wellcome Trust Sanger Institute	2955035786	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania donovani	261349	Ga0100281	Genome Analysis (Isolate)	Gp0010321	No	32444968	8243		
2941202226	Eukaryota	Permanent Draft	Broad institute Candida albicans Clinical Isolates	Candida albicans P57072	Broad Institute	2941202226	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida albicans	260932	Ga0129462	Genome Analysis (Isolate)	Gp0037598	No	14509911	6385		
2942826055	Eukaryota	Draft	Phytophthora parasitica genome sequencing	Phytophthora parasitica CHvinca01	Broad Institute	2942826055	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora nicotianae	261351	Ga0100303	Genome Analysis (Isolate)	Gp0043338	No	47809385	26602		
2942713325	Eukaryota	Permanent Draft	Leishmania braziliensis MHOM/BR/75M2904	Leishmania braziliensis MHOM/BR/75M2904	Wellcome Trust Sanger Institute	2942713325	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania braziliensis	261343	Ga0099571	Genome Analysis (Isolate)	Gp0002399	No	32068771	8667		
2943147692	Eukaryota	Permanent Draft	Genomic analysis of the causative agents of coccidiosis in chickens	Eimeria praecox	Wellcome Trust Sanger Institute	2943147692	Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria	Eimeria praecox	261390	Ga0129886	Genome Analysis (Isolate)	Gp0100793	No	60083328	7635		
2940932561	Eukaryota	Permanent Draft	sequencing of Trichophyton	Trichophyton soudanense CBS 452.61	Broad Institute	2940932561	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton soudanense	260896	Ga0103243	Genome Analysis (Isolate)	Gp0037864	No	22854418	10773		
2942291271	Eukaryota	Permanent Draft	Plasmodium falciparum comparative genome sequencing project	Plasmodium falciparum 7G8	Broad Institute	2942291271	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum	261296	Ga0039316	Genome Analysis (Isolate)	Gp0003433	No	24559064	6361		
