taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Is Public	Public Release Date	Genome Size   * assembled	Gene Count   * assembled	JGI Data Utilization Status
638208605	Eukaryota	Finished	Debaryomyces hansenii var hansenii CBS767	Debaryomyces hansenii var. hansenii CBS767	CEA Genoscope	638208605	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces hansenii	Yes	12/1/06	12220823	6531	
638208601	Eukaryota	Permanent Draft	Aspergillus fumigatus Af293	Aspergillus fumigatus Af293	"Institut Pasteur, J. Craig Venter Institute, Wellcome Trust Sanger Institute"	638208601	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fumigatus	Yes	12/1/06	29384958	10152	
638208607	Eukaryota	Finished	Eremothecium gossypii ATCC 10895	Eremothecium gossypii ATCC 10895	University of Basel	638208607	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	Eremothecium gossypii	Yes	12/1/06	8742377	4987	
638208603	Eukaryota	Finished	Nakaseomyces glabratus CBS 138	Nakaseomyces glabratus CBS 138	"CEA Genoscope, Institut Pasteur"	638208603	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces glabratus	Yes	12/1/06	12280357	5397	
638208608	Eukaryota	Finished	Kluyveromyces lactis NRRL Y-1140	Kluyveromyces lactis NRRL Y-1140	CEA Genoscope	638208608	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces lactis	Yes	12/1/06	10689156	5498	
638208609	Eukaryota	Finished	Saccharomyces cerevisiae S288C	Saccharomyces cerevisiae S288C	Association Nationale de la Recherche et de la Technologie (ANRT)	638208609	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	Yes	12/1/06	12156600	6273	
638208611	Eukaryota	Finished	Yarrowia lipolytica CLIB122	Yarrowia lipolytica CLIB122	CEA Genoscope	638208611	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	Yarrowia lipolytica	Yes	12/1/06	20502981	7042	
638208610	Eukaryota	Finished	Schizosaccharomyces pombe 972h-	Schizosaccharomyces pombe 972h-	"Cold Spring Harbor Laboratory, Wellcome Trust Sanger Institute"	638208610	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	Schizosaccharomyces pombe	Yes	12/1/06	12554318	5315	
638208604	Eukaryota	Finished	Cryptococcus neoformans var neoformans JEC 21	Cryptococcus neoformans var. neoformans JEC 21	J. Craig Venter Institute	638208604	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	Yes	12/1/06	19051922	6609	
638208606	Eukaryota	Finished	Encephalitozoon cuniculi GB-M1	Encephalitozoon cuniculi GB-M1	CEA Genoscope	638208606	Microsporidia	unclassified	unclassified	Unikaryonidae	Encephalitozoon	Encephalitozoon cuniculi	Yes	12/1/06	2497519	2053	
