"KO","Definition","Symbol","Name","Stress","Notes"
"K00033","PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","PGD, gnd, gntZ"," 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Oxidative",NA
"K00034","gdh; glucose 1-dehydrogenase [EC:1.1.1.47]","gdh"," glucose 1-dehydrogenase [EC:1.1.1.47]","General",NA
"K00059","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","fabG, OAR1"," 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","Cold",NA
"K00111","glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]","glpA, glpD"," glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]","Cold",NA
"K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]","GAPDH, gapA"," glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]","Oxidative",NA
"K00288","MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]","MTHFD"," methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]","General",NA
"K00354","E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]","E1.6.99.1"," NADPH2 dehydrogenase [EC:1.6.99.1]","Oxidative",NA
"K00370","narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]","narG, narZ, nxrA"," nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]","Nitrite oxidoreductase",NA
"K00382","DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]","DLD, lpd, pdhD"," dihydrolipoamide dehydrogenase [EC:1.8.1.4]","Chlorine",NA
"K00383","GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]","GSR, gor"," glutathione reductase (NADPH) [EC:1.8.1.7]","Oxidative",NA
"K00384","trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]","trxB, TRR"," thioredoxin reductase (NADPH) [EC:1.8.1.9]","General",NA
"K00507","SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]","SCD, desC"," stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]","Cold",NA
"K00668","FAS1; fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]","FAS1"," fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]","Cold",NA
"K00679","E2.3.1.158; phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]","E2.3.1.158"," phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]","Cold",NA
"K00693","GYS; glycogen synthase [EC:2.4.1.11]","GYS"," glycogen synthase [EC:2.4.1.11]","Cold",NA
"K00697","otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]","otsA"," trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]","Osmotic",NA
"K00721","DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]","DPM1"," dolichol-phosphate mannosyltransferase [EC:2.4.1.83]","General",NA
"K00750","GYG1, GYG2; glycogenin [EC:2.4.1.186]","GYG1, GYG2"," glycogenin [EC:2.4.1.186]","Cold",NA
"K00763","pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]","pncB, NAPRT1"," nicotinate phosphoribosyltransferase [EC:6.3.4.21]","Oxidative",NA
"K00799","GST, gst; glutathione S-transferase [EC:2.5.1.18]","GST, gst"," glutathione S-transferase [EC:2.5.1.18]","Oxidative",NA
"K00818","E2.6.1.11, argD; acetylornithine aminotransferase [EC:2.6.1.11]","E2.6.1.11, argD"," acetylornithine aminotransferase [EC:2.6.1.11]","Oxidative",NA
"K00863","DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]","DAK, TKFC"," triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]","General",NA
